문제,보기1,보기2,보기3,보기4,정답,해설
"반정규화(Denormalization) 유형 중 중복 테이블을 추가하는 방법에 해당하지 않는 것은?","빌드 테이블의 추가","집계 테이블의 추가","진행 테이블의 추가","특정 부분만을 포함하는 테이블 추가",①,"반정규화에서 중복 테이블을 추가하는 방법에는 집계 테이블, 진행 테이블, 특정 부분만을 포함하는 테이블의 추가가 있습니다. 빌드 테이블의 추가는 해당하지 않습니다."
"알고리즘 시간 복잡도 O(1)이 의미하는 것은?","컴퓨터 처리가 불가","알고리즘 입력 데이터 수가 한 개","알고리즘 수행시간이 입력 데이터 수와 관계없이 일정","알고리즘 길이가 입력 데이터보다 작음",③,"O(1)은 입력 데이터 수와 무관하게 수행 시간이 일정한 상수 시간임을 의미합니다."
"디지털 저작권 관리(DRM)의 기술 요소가 아닌 것은?","크랙 방지 기술","정책 관리 기술","암호화 기술","방화벽 기술",④,"디지털 저작권 관리의 주요 기술요소는 암호화, 정책관리, 크랙방지 등이지만, 방화벽 기술은 해당하지 않습니다."
"다음 트리를 Preorder 운행법으로 운행할 경우 가장 먼저 탐색되는 것은?","A","B","D","G",①,"Preorder는 Root를 먼저 방문합니다. 제시된 트리에서 처음 탐색되는 것은 A입니다."
"인터페이스 보안을 위해 네트워크 영역에 적용될 수 있는 솔루션과 거리가 먼 것은?","IPSec","SSL","SMTP","S-HTTP",③,"SMTP는 메일 전송 규약(프로토콜)로, 네트워크 영역에서 인터페이스 보안을 제공하는 솔루션은 아닙니다."
"저작권 관리 구성 요소에 대한 설명이 틀린 것은?","콘텐츠 제공자(Contents Provider): 콘텐츠를 제공하는 저작권자","콘텐츠 분배자(Contents Distributor): 콘텐츠를 메타 데이터와 함께 배포 가능한 단위로 묶는 기능","클리어링 하우스(Clearing House): 키 관리 및 라이선스 발급 관리","컨트롤러(DRM): 배포된 콘텐츠의 이용 권한을 통제",②,"콘텐츠 분배자는 암호화 콘텐츠(패키지)를 사용자에게 배포하는 역할이고, 메타 데이터와 함께 배포 단위로 묶는 것은 패키저입니다."
"소프트웨어 패키징 도구 활용 시 고려사항으로 틀린 것은?","반드시 내부 콘텐츠에 대한 암호화 및 보안을 고려한다.","보안을 위하여 이기종 연동을 고려하지 않아도 된다.","사용자 편의성을 위한 복잡성 및 비효율성 문제를 고려한다.","제품 소프트웨어 종류에 적합한 암호화 알고리즘을 적용한다.",②,"보안을 위해서라도 이기종 연동(복수 시스템 의 호환성)은 반드시 고려해야 합니다."
"자료 구조에 대한 설명으로 틀린 것은?","큐는 비선형 구조에 해당한다.","큐는 First In First Out 처리를 수행한다.","스택은 Last In First Out 처리를 수행한다.","스택은 서브루틴 호출, 인터럽트 처리, 수식 계산 및 수식 표기법에 응용된다.",①,"큐(Queue)는 선형 자료구조입니다. 비선형 자료구조는 트리, 그래프 등이 있습니다."
"순서가 A, B, C, D로 정해진 입력 자료를 스택에 입력한 후 출력한 결과로 불가능한 것은?","D, C, B, A","B, C, D, A","C, B, A, D","D, B, C, A",④,"D, B, C, A는 스택을 사용해서는 만들 수 없는 출력 순서입니다."
"다음 중 단위 테스트를 통해 발견할 수 있는 오류가 아닌 것은?","알고리즘 오류에 따른 원치 않는 결과","탈출구가 없는 반복문의 사용","모듈 간의 비정상적 상호 작용으로 인한 원치 않는 결과","틀린 계산 수식에 의한 잘못된 결과",③,"단위 테스트는 개별 모듈의 로직, 코드 내 오류를 검증하므로 '모듈 간 비정상 상호작용' 즉, 통합 이슈는 통합테스트에서 주로 발견됩니다."
