문제,보기1,보기2,보기3,보기4,정답,해설
"트랜잭션의 특성 중 다음 설명에 해당하는 것은?
트랜잭션의 연산은 데이터베이스에 모두 반영되든지 아니면 전혀 반영되지 않아야 한다.","Durability","Share","Consistency","Atomicity",④,"트랜잭션(거래)의 원자성(Atomicity)은 트랜잭션을 구성하는 연산이 모두 반영되거나, 전혀 반영되지 않아야 함을 의미"
"모델의 표현 방법으로 옳지 않은 것은","개체 타입 : 사각형","관계 타입 : 마름모","속성 : 오각형","연결 : 선",③,"E-R 다이어그램에서 속성은 타원(ellipse)으로 표현한다. 오각형은 해당 없음."
"테이블에 독일어과 학생 50명, 중국어과 학생 30명, 영어영문학과 학생 50명의 정보가 저장되어 있을 때 다음 두 SQL의 실행 결과 튜플 수는?  (컬럼은 학과명, DEPT)
SELECT DEPT FROM STUDENT; (ⓐ)
SELECT DISTINCT DEPT FROM STUDENT; (ⓑ)","3, 3","50, 3","130, 3","130, 130",③,"SELECT DEPT FROM STUDENT; → 130 (중복 포함), SELECT DISTINCT DEPT FROM STUDENT; → 3 (중복 제거)"
"릴레이션에 대한 설명으로 거리가 먼 것은?","튜플들의 삽입/삭제 등의 작업으로 인해 릴레이션은 시간에 따라 변한다.","한 릴레이션에 포함된 튜플들은 모두 상이하다.","애트리뷰트는 논리적으로 쪼갤 수 없는 원자값으로 저장한다.","한 릴레이션에 포함된 튜플 사이에는 순서가 있다.",④,"튜플(행)에는 기본적으로 순서가 없으며, 릴레이션의 기본 개념에서도 튜플의 순서는 고려하지 않습니다."
"다음에 해당하는 함수 종속의 추론 규칙은?  
X → Y이고 Y → Z이면 X → Z이다.","분해 규칙","이행 규칙","반사 규칙","결합 규칙",②,"이행 규칙 : X → Y, Y → Z이면 X → Z"
"데이터베이스 설계 시 물리적 설계 단계에서 수행하는 사항이 아닌 것은?","저장 레코드 양식 설계","레코드 집중의 분석 및 설계","접근 경로 설계","목표 DBMS에 맞는 스키마 설계",④,"DBMS에 맞는 스키마 설계는 논리적 설계 단계에서 수행한다."
"뷰(View)에 대한 설명으로 틀린 것은?","뷰 위에 또 다른 뷰를 정의할 수 있다.","뷰에 대한 조작에서 삽입/갱신/삭제 연산은 제약이 따른다.","뷰의 정의는 기본 테이블과 같이 ALTER문을 이용하여 변경한다.","뷰가 정의된 기본 테이블이 제거되면 뷰도 자동적으로 제거된다.",③,"ALTER문은 테이블 구조(필드 등) 변경에는 사용하지만, 뷰 정의 변경엔 주로 CREATE OR REPLACE, DROP 후 재생성등을 사용"
"DBA가 사용자 PARK에게 테이블 STUDENT의 데이터를 갱신할 수 있는 시스템 권한을 부여하고자 하는 SQL문을 작성하고자 한다. 다음에 주어진 SQL문의 빈칸을 알맞게 채운 것은?  
GRANT    ㉠       ㉡   STUDENT TO PARK;","INSERT, INTO","ALTER, TO","UPDATE, ON","REPLACE, IN",③,"UPDATE ON STUDENT TO PARK;"
"정규화된 엔티티/속성/관계를 시스템의 성능 향상과 개발, 운영의 단순화를 위해 중복·통합·분리 등을 수행하는 데이터 모델링 기법은?","정규화","반정규화","집단화","머징",②,"정규화→정상화,NF상태로 변환, 반정규화→중복,통합,분리 등 수행"
"3NF(제3정규형)에서 BCNF(Boyce-Codd Normal Form)가 되기 위한 조건은?","이행적 함수 종속 제거","부분적 함수 종속 제거","다치 종속 제거","결정자이면서 후보키가 아닌 것 제거",④,"BCNF는 '결정자'가 반드시 후보키여야 하므로, 후보키가 아닌 결정자에 의한 함수 종속이 있으면 제거"
"데이터베이스 성능에 많은 영향을 주는 DBMS의 구성 요소로 테이블과 클러스터에 연관되어 독립적인 저장 공간을 보유하며, 데이터베이스에 저장된 자료를 더욱 빠르게 조회하기 위하여 사용되는 것은?","인덱스(Index)","트랜잭션(Transaction)","역정규화(Denormalization)","트리거(Trigger)",①,"인덱스는 조회성능 향상을 위해 데이터 구조와 별개로 구축됨"
"다음 관계 대수 중 순수 관계 연산자가 아닌 것은?","차집합(Difference)","프로젝트(Project)","조인(Join)","디비전(Division)",①,"순수관계연산자: 선택(σ), 투사(π), 조인(⋈), 디비전(÷)"
"릴레이션에서 기본 키를 구성하는 속성은 널 값이나 중복 값을 가질 수 없다는 것을 의미하는 제약 조건은?","참조 무결성","보안 무결성","개체 무결성","정보 무결성",③,"개체무결성(Entity Integrity): 기본키의 NOT NULL 및 유일성"
"관계 대수에 대한 설명으로 틀린 것은?","원하는 릴레이션을 정의하는 방법을 제공하며 비절차적 언어이다.","릴레이션 조작을 위한 연산의 집합으로 피연산자와 결과가 모두 릴레이션이다.","일반 집합 연산과 순수 관계 연산으로 구분된다.","질의에 대한 해를 구하기 위해 수행해야 할 연산의 순서를 명시한다.",①,"관계대수는 절차적(과정) 언어, 관계해석은 비절차적(목표) 언어"
"학적 테이블에서 전화번호가 Null 값이 아닌 학생명을 모두 검색할 때 SQL 구문으로 옳은 것은?","SELECT 학생명 FROM 학적 WHERE 전화번호 DON'T NULL;","SELECT 학생명 FROM 학적 WHERE 전화번호 !=NOT NULL;","SELECT 학생명 FROM 학적 WHERE 전화번호 IS NOT NULL;","SELECT 학생명 FROM 학적 WHERE 전화번호 <> NULL;",③,"IS NOT NULL 조건 사용 필요"
"분산 데이터베이스 시스템에 대한 설명으로 틀린 것은?","분산 데이터베이스는 논리적으로는 하나의 시스템에 속하지만 물리적으로는 여러 개의 컴퓨터 사이트에 분산되어 있다.","위치 투명성, 중복 투명성, 병행 투명성, 장애 투명성을 목표로 한다.","데이터베이스의 설계가 비교적 어렵고, 개발 비용과 처리 비용이 증가한다는 단점이 있다.","분산 데이터베이스 시스템의 주요 구성 요소는 분산 처리기, 시스템, 단일 데이터베이스 등이 있다. P2P.",④,"'단일 데이터베이스'가 아니라 '여러 개의 데이터베이스'가 분산되어 있음. P2P는 원격노드간 직접 연결방식"
"데이터 모델의 구성 요소 중 데이터 구조에 따라 개념 세계나 컴퓨터 세계에서 실제로 표현된 값들을 처리하는 작업을 의미하는 것은?","Relation","Data Structure","Constraint","Operation",④,"Operation(연산)은 데이터의 실제 값에 대한 처리를 의미"
"데이터 사전에 대한 설명으로 틀린 것은?","시스템 카탈로그 또는 시스템 데이터베이스라고도 한다.","데이터 사전 역시 데이터베이스의 일종이므로 일반 사용자가 생성, 유지 및 수정할 수 있다.","데이터베이스에 대한 데이터인 메타데이터를 저장하고 있다.","데이터 사전에 있는 데이터에 실제로 접근하는 데 필요한 위치 정보는 데이터 디렉토리라는 곳에서 관리한다.",②,"데이터사전은 관리용 DB로, 일반 사용자가 직접 수정·생성·유지 못함."
"키는 개체 집합에서 고유하게 개체를 식별할 수 있는 속성이다. 데이터베이스에서 사용되는 키의 종류에 대한 설명으로 옳지 않은 것은?","후보키는 개체들을 고유하게 식별할 수 있는 속성이다.","슈퍼키는 한 개 이상의 속성들의 집합으로 구성된 키이다.","외래키는 다른 테이블의 기본키로 사용되는 속성이다.","대체키는 슈퍼키 중에서 기본키를 제외한 나머지 키를 의미한다.",④,"대체키는 '후보키' 중에서 기본키를 제외한 나머지 키를 의미 (슈퍼키는 후보키 포함 상위 개념)"
"데이터웨어하우스의 기본적인 OLAP(On-Line Analytical Processing) 연산이 아닌 것은?","Translate","Roll-Up","Dicing","Drill-Down",①,"Roll-Up(상위집계), Dicing, Drill-Down(세분화) 모두 OLAP 연산, Translate(변환)은 OLAP 연산이 아님."
