문제,보기1,보기2,보기3,보기4,정답,해설
"침입탐지 시스템(IDS : Intrusion Detection System)과 관련한 설명으로 틀린 것은?","이상 탐지 기법(Anomaly Detection)은 Signature Base 나 Knowledge Base라고도 불리며 이미 발견되고 정립된 공격 패턴을 입력해두었다가 탐지 및 차단한다.","HIDS(Host-Based Intrusion Detection)는 운영체제에 설정된 사용자 계정에 따라 어떤 사용자가 어떤 접근을 시도하고 어떤 작업을 했는지에 대한 기록을 남기고 추적한다.","NIDS(Network-Based Intrusion Detection System)로는 대표적으로 Snort가 있다.","외부 인터넷에 서비스를 제공하는 서버가 위치하는 네트워크인 DMZ(Demilitarized Zone)에는 IDS가 설치될 수 있다.",①,"ㆍ이상 탐지 기법(Anomaly Detection)은 평균적인 시스템의 상태를 기준으로 비정상적인 행위나 자원의 사용이 감지되면 이를 알려주는 시스템입니다.\nㆍ①번은 오용 탐지 기법(Misuse Detection)에 대한 설명입니다."
"정보시스템과 관련한 다음 설명에 해당하는 것은?\nㆍ각 시스템 간에 공유 디스크를 중심으로 클러스터링으로 엮어 다수의 시스템을 동시에 연결할 수 있다.\nㆍ조직, 기업의 기간 업무 서버 안정성을 높이기 위해 사용될 수 있다.\nㆍ여러 가지 방식으로 구현되며 2개의 서버를 연결하는 것으로 2개의 시스템이 각각 업무를 수행하도록 구현하는 방식이 널리 사용된다.","고가용성 솔루션(HACMP)","점대점 연결 방식(Point-to-Point Mode)","스턱스넷(Stuxnet)","루팅(Rooting)",①,"지문의 설명에 해당하는 것은 고가용성 솔루션(HACMP)입니다.\nㆍ점대점 연결 방식(Point-to-Point Mode) : 연결된 두 단말이 동등하게 연결되어 각 단말이 클라이언트가 될 수도, 서버가 될 수도 있는 방식\nㆍ스턱스넷(Stuxnet) : 독일의 산업시설을 감시하고 파괴하기 위해 만들어진 악성 소프트웨어\nㆍ루팅(Rooting) : 스마트폰의 보안기능을 해제하여 허용되지 않은 기능을 사용하거나 불법 앱을 사용할 수 있도록 변경하는 행위"
"기기를 키오스크에 갖다 대면 원하는 데이터를 바로 가져올 수 있는 기술로 10㎝ 이내 근접 거리에서 기가급 속도로 데이터 전송이 가능한 초고속 근접무선통신(NFC; Near Field Communication) 기술은?","BcN(Broadband Convergence Network)","Zing","Marine Navi","C-V2X(Cellular Vehicle To Everything)",②,"이내 거리에서 3.5Gbps 속도의 데이터 전송이 가능한 초고속 근접무선통신(NFC)을 징(Zing)이라고 합니다.\nㆍ광대역 통합망(BcN; Broadband Convergence Network) : 개별적인 망들이 갖고 있는 한계점을 극복하여 음성, 데이터, 유선/무선, 통신/방송 등의 다양한 멀티미디어 서비스를 장소와 시간에 관계없이 일정한 품질로 안전하게 이용할 수 있는 차세대 네트워크\nㆍ마린내비(Marine Navi) : 소형 선박의 충돌사고 예방을 위해 KT에서 만든 선박 안전 솔루션으로, GPS 기반 선박 자동식별 장치(AIS)를 통해 선박의 속도와 위치를 파악하고, 주변 선박과의 거리, 충돌 가능성 등을 인공지능(AI)을 통해 분석하여 전자해도(ENC)로 제공함\nㆍ셀룰러차량사물통신(C-V2X; Cellular Vehicle To Everything) : 이동통신망을 이용하여 차량 대 차량, 차량 대 보행자, 차량 대 인프라 간에 정보를 공유하는 기술로, 3GPP에서 제정한 기술 표준 중 하나임"
"세션 하이재킹을 탐지하는 방법으로 거리가 먼 것은?","FTP SYN SEGMENT 탐지","비동기화 상태 탐지","ACK STORM 탐지","패킷의 유실 및 재전송 증가 탐지",①,"세션 하이재킹의 탐지 방법에는 비동기화 상태 탐지, ACK Storm 탐지, 패킷의 유실과 재전송 증가 탐지, 예상치 못한 접속의 리셋 탐지 등이 있습니다."
"소프트웨어 생명 주기 모형 중 Spiral Model에 대한 설명으로 틀린 것은?","비교적 대규모 시스템에 적합하다.","개발 순서는 계획 및 정의, 위험 분석, 공학적 개발, 고객 평가 순으로 진행된다.","소프트웨어를 개발하면서 발생할 수 있는 위험을 관리하고 최소화하는 것을 목적으로 한다.","계획, 설계, 개발, 평가의 개발 주기가 한 번만 수행된다.",④,"나선형 모델(Spiral Model)은 계획 수립, 위험 분석, 개발 및 검증, 고객 평가 과정을 반복하며 수행하는 개발 방법론입니다."
"다음이 설명하는 용어로 옳은 것은?\nㆍ오픈 소스를 기반으로 한 분산 컴퓨팅 플랫폼이다.\nㆍ일반 PC급 컴퓨터들로 가상화된 대형 스토리지를 형성한다.\nㆍ다양한 소스를 통해 생성된 빅데이터를 효율적으로 저장하고 처리한다.","하둡(Hadoop)","비컨(Beacon)","포스퀘어(Foursquare)","맴리스터(Memristor)",①,"문제의 지문에 제시된 내용은 하둡(Hadoop)에 대한 설명입니다.\nㆍ비컨(Beacon) : 전파를 이용하는 무선 통신 기술에서 주기적으로 프레임 신호 동기를 맞추고 송수신 관련 시스템 정보를 전송하며 수신 데이터 정보를 전달하는 신호 기술\nㆍ포스퀘어(Foursquare) : 특정 지역이나 장소를 방문할 때 자신의 위치를 지도에 표시하고 방문한 곳의 정보를 남길 수 있는 기능을 제공하는 위치 기반 소셜 네트워크 서비스(SNS)\nㆍ멤리스터(Memristor) : 메모리(Memory)와 레지스터(Resister)의 합성어로, 전류의 방향과 양 등 기존의 경험을 모두 기억하는 특별한 소자이며, 전원 공급이 끊어졌을 때도 직전에 통과한 전류의 방향과 양을 기억하기 때문에 다시 전원이 공급되면 기존의 상태가 그대로 복원됨"
"컴퓨터 사용자의 키보드 움직임을 탐지해 ID, 패스워드 등 개인의 중요한 정보를 몰래 빼가는 해킹 공격은?","Key Logger Attack","Worm","Rollback","Zombie Worm",①,"컴퓨터 사용자의 키보드 움직임을 탐지해 ID, 패스워드 등 개인의 중요한 정보를 몰래 빼가는 해킹 공격은 키로거 공격(Key Logger Attack)입니다.\nㆍ웜(Worm) : 네트워크를 통해 연속적으로 자신을 복제하여 시스템의 부하를 높임으로써 결국 시스템을 다운시키는 바이러스의 일종으로, 분산 서비스 거부 공격, 버퍼 오버플로 공격, 슬래머 등이 웜 공격의 한 형태임\nㆍROLLBACK : 데이터베이스 조작 작업이 비정상적으로 종료되었을 때 원래의 상태로 복구함\nㆍ좀비(Zombie) PC : 악성코드에 감염되어 다른 프로그램이나 컴퓨터를 조종하도록 만들어진 컴퓨터로, C&C(Command & Control) 서버의 제어를 받아 주로 DDoS 공격 등에 이용됨"
"COCOMO 모델의 프로젝트 유형으로 거리가 먼 것은?","Organic","Semi-detached","Embedded","Sequential",④,"Sequential이라는 유형은 존재하지 않습니다."
"다음은 정보의 접근통제 정책에 대한 설명이다. ㄱ에 들어갈 내용으로 옳은 것은?\n정책      ㄱ      (       )  DAC    RBAC\n권한부여 시스템 데이터 소유자 중앙관리자\n접근 결정  보안등급(Label) 신분(Identity)  역할(Role)\n정책변경 반영여부 고정적 변경 어려움 변경 용이  변경 용이\n장점 안정적 중앙집중적 구현용이 유연함, 관리용이","NAC","MAC","SDAC","AAC",②,"등급을 정해두면 시스템에 의해 권한이 부여되는 방식은 강제 접근통제(MAC)입니다."
"정보 보안의 3요소에 해당하지 않는 것은?","기밀성","무결성","가용성","휘발성",④,"소프트웨어 개발이 있어 충족시켜야 할 주요 보안 요소에는 기밀성(Confidentiality), 무결성(Integrity), 가용성(Availability)이 있습니다.\nㆍ기밀성(Confidentiality) : 시스템 내의 정보와 자원은 인가된 사용자에게만 접근이 허용됨\nㆍ무결성(Integrity) : 시스템 내의 정보는 오직 인가된 사용자만 수정할 수 있음\nㆍ가용성(Availability) : 인가받은 사용자는 언제라도 사용할 수 있음"
