문제,보기1,보기2,보기3,보기4,정답,해설
"객체지향 분석 방법론 중 E-R 다이어그램을 사용하여 객체의 행위를 모델링하며 객체 식별, 구조식별, 주체 정의, 속성 및 관계 정의, 서비스 정의 등의 과정으로 구성되는 것은?","Coad와 Yourdon 방법","Booch 방법","Jacobson 방법","Wirfs-Brocks 방법",①,"문제에 제시된 내용은 Coad와 Yourdon 방법에 대한 설명입니다.
ㆍ부치방법(Booch)은 미시적(Micro) 개발 프로세스와 거시적(Macro) 개발 프로세스를 모두 사용하는 분석 방법으로, 클래스와 객체들을 분석 및 식별하고 클래스의 속성과 연산을 정의함
ㆍJacobson 방법은 Use Case를 강조하여 사용하는 분석 방법
ㆍWirfs-Brock 방법은 분석과 설계 간의 구분이 없고, 고객 명세서를 평가해서 설계 작업까지 연속적으로 수행하는 기법"
"트랜잭션이 올바르게 처리되고 있는지 데이터를 감시하고 제어하는 미들웨어는?","RPC","ORB","TP monitor","HUB",③,"트랜잭션이 올바르게 처리되고 있는지 데이터를 감시하고 제어하는 미들웨어는 TP-Monitor(Transaction Processing Monitor)입니다.
ㆍRPC(Remote Procedure Call): 응용 프로그램의 프로시저를 사용하여 원격 프로시저를 마치 로컬 프로시저처럼 호출하는 방식의 미들웨어
ㆍORB(Object Request Broker): 객체 지향 미들웨어로 코바(CORBA) 표준 스펙을 구현한 미들웨어"
"자료 흐름도(Data Flow Diagram)의 구성 요소로 옳은 것은?","process, data flow, data store, comment","process, data flow, data store, terminator","data flow, data store, terminator, data dictionary","process, data store, terminator, mini-spec",②,"자료 흐름도(DFD)의 구성 요소에는 프로세스(Process), 자료 흐름(Data Flow), 자료 저장소(Data Store), 단말(Terminator)이 있습니다."
"객체지향에서 정보 은닉과 가장 밀접한 관계가 있는 것은?","Encapsulation","Class","Method","Instance",①,"캡슐화된 객체는 세부 내용이 외부에 은폐되므로 정보 은닉과 밀접한 관계가 있습니다.
ㆍ클래스(Class) 두 개 이상의 유사한 객체들을 묶어서 하나의 공통된 특성을 표현하는 요소
ㆍ메소드(Method) 객체가 메시지를 받아 실행해야 할 때 구체적인 연산을 정의하는 것으로, 객체의 상태를 참조하거나 변경하는 수단
ㆍ인스턴스(Instance) 클래스에 속한 각각의 객체"
"자료 사전(Data Dictionary)에서 선택의 의미를 나타내는 것은?","[ ]","{ }","+","=",①,"자료 사전에서 자료의 선택을 의미하는 기호는 [ ]입니다.
ㆍ{ } 자료의 반복
ㆍ= 자료의 정의
ㆍ+ 자료의 연결"
"소프트웨어 개발 단계에서 요구 분석 과정에 대한 설명으로 거리가 먼 것은?","분석 결과의 문서화를 통해 향후 유지보수에 유용하게 활용할 수 있다.","개발 비용이 가장 많이 소요되는 단계이다.","자료흐름도, 자료 사전 등이 효과적으로 이용될 수 있다.","보다 구체적인 명세를 위해 소단위 명세서(Mini-Spec)가 활용될 수 있다.",②,"소프트웨어 생명주기에서 개발 비용이 가장 많이 소요되는 단계는 유지보수 단계입니다."
"럼바우(Rumbaugh) 분석 기법에서 정보 모델링이라고도 하며, 시스템에서 요구되는 객체를 찾아내어 속성과 연산 식별 및 객체들 간의 관계를 규정하여 다이어그램을 표시하는 모델링은?","Object","Dynamic","Function","Static",①,"정보 모델링이라고 불리는 럼바우 분석 기법의 모델링은 객체 모델링입니다(Object Modeling).
ㆍ동적 모델링(Dynamic Modeling) 상태 다이어그램(상태도)을 이용하여 시간의 흐름에 따른 객체들 간의 제어 흐름, 상호 작용, 동작 순서 등의 동적인 행위를 표현하는 모델링
ㆍ기능 모델링(Functional Modeling) 자료 흐름도(DFD)를 이용하여 다수의 프로세스들 간의 자료 흐름을 중심으로 처리 과정을 표현한 모델링"
"UML(Unified Modeling Language)에 대한 설명 중 틀린 것은?","기능적 모델은 사용자 측면에서 본 시스템 기능이며, UML에서 Use case Diagram을 사용한다.","정적 모델은 객체, 속성, 연관관계, 오퍼레이션의 시스템의 구조를 나타내며, UML에서는 Class Diagram을 사용한다.","동적 모델은 시스템의 내부 동작을 말하며, UML에서는 Sequence Diagram, State Diagram, Activity Diagram을 사용한다.","State Diagram은 객체들 사이의 메시지 교환을 나타내며, Sequence Diagram은 하나의 객체가 가진 상태와 그 상태의 변화에 의한 동작순서를 나타낸다.",④,"상태 다이어그램(State Diagram)은 하나의 객체가 가진 상태와 그 상태의 변화에 의한 동작순서를 나타내며, 시퀀스 다이어그램(Sequence Diagram)은 객체들 사이의 메시지 교환을 나타냅니다."
"사용자 인터페이스(UI)의 특징으로 틀린 것은?","구현하고자 하는 결과의 오류를 최소화한다.","사용자의 편의성을 높임으로써 작업시간을 증가시킨다.","막연한 작업 기능에 대해 구체적인 방법을 제시하여 준다.","사용자 중심의 상호 작용이 되도록 한다.",②,"사용자 인터페이스(UI)는 사용자의 편리성과 가독성을 높임으로써 작업 시간을 단축시키고 업무에 대한 이해도를 높여줍니다."
"GoF(Gangs of Four) 디자인 패턴에 대한 설명으로 틀린 것은?","Factory Method Pattern은 상위 클래스에서 객체를 생성하는 인터페이스를 정의하고, 하위 클래스에서 인스턴스를 생성하도록 하는 방식이다.","Prototype Pattern은 Prototype을 먼저 생성하고 인스턴스를 복제하여 사용하는 구조이다.","Bridge Pattern은 기존에 구현되어 있는 클래스에 기능 발생시 기존 클래스를 재사용할 수 있도록 중간에서 맞춰주는 역할을 한다.","Mediator Pattern은 객체간의 통제와 지시의 역할을 하는 중재자를 두어 객체지향의 목표를 달성하게 해준다.",③,"브리지 패턴(Bridge Pattern)은 구현부에서 추상층을 분리하여 서로가 독립적으로 확장할 수 있도록 구성한 패턴입니다. 기존의 클래스를 이용하고 싶을 때 중간에서 맞춰주는 역할을 수행하는 패턴은 어댑터(Adapter)입니다."
