문제,보기1,보기2,보기3,보기4,정답,해설
"참조 무결성을 유지하기 위하여 DROP문에서 부모 테이블의 항목 값을 삭제할 경우 자동적으로 자식 테이블의 해당 레코드를 삭제하기 위한 옵션은?","CLUSTER","CASCADE","SET-NULL","RESTRICTED",②,"문제에 제시된 내용은 CASCADE에 대한 설명입니다.
ㆍRESTRICTED 다른 개체가 제거할 요소를 참조중일 때는 제거를 취소함"
"뷰(View)에 대한 설명으로 옳지 않은 것은?","뷰는 CREATE문을 사용하여 정의한다.","뷰는 데이터의 논리적 독립성을 제공한다.","뷰를 제거할 때에는 DROP문을 사용한다.","뷰는 저장장치 내에 물리적으로 존재한다.",④,"뷰는 저장장치 내에 물리적으로 존재하지 않는 가상 테이블입니다."
"DML에 해당하는 SQL명령으로만 나열된 것은?","DELETE, UPDATE, CREATE, ALTER","INSERT, DELETE, UPDATE, DROP","SELECT, INSERT, DELETE, UPDATE","SELECT, INSERT, DELETE, ALTER",③,"데이터 조작어의 4가지 명령어는 DML(SELECT, INSERT, DELETE, UPDATE)입니다."
"관계대수의 순수 관계 연산자가 아닌 것은?","Select","Cartesian Product","Division","Project",②,"순수 관계 연산자에는 Select, Project, Join, Division이 있습니다."
"관계 데이터 모델의 무결성 제약 중 기본키 값의 속성 값이 널(Null) 값이 아닌 원자 값을 갖는 성질은?","개체 무결성","참조 무결성","도메인 무결성","튜플의 유일성",①,"관계 데이터 모델의 무결성 제약 중 기본키 값의 속성 값이 널 값이 아닌 원자 값을 갖는 성질을 개체 무결성(Entity Integrity)이라고 합니다.
ㆍ참조 무결성(Referential Integrity) 외래키 값은 Null이나 참조 릴레이션의 기본키 값과 동일해야 하고 릴레이션은 참조할 수 없는 외래키 값을 가질 수 없다는 규정
ㆍ도메인 무결성(Domain Integrity, 영역 무결성) 주어진 속성 값이 정의된 도메인에 속한 값이어야 한다는 규정"
"제3정규형에서 보이스코드 정규형(BCNF)으로 정규화하기 위한 작업은?","원자 값이 아닌 도메인을 분해","부분 함수 종속 제거","이행 함수 종속 제거","결정자가 후보키가 아닌 함수 종속 제거",④,"BCNF는 결정자가 모두 후보키인 정규형으로, 제3정규형에서 결정자가 후보키가 아닌 것을 제거하면 BCNF가 됩니다."
"로킹(Locking) 기법에 대한 설명으로 틀린 것은?","로킹의 대상이 되는 객체의 크기를 로킹 단위라고 한다.","로킹 단위가 작아지면 병행성 수준이 낮아진다.","데이터베이스도 로킹 단위가 될 수 있다.","로킹 단위가 커지면 로크 수가 작아 로킹 오버헤드가 감소한다.",②,"로킹 단위가 작아지면 병행성 수준이 높아집니다."
"다음 SQL문에서 빈칸에 들어갈 내용으로 옳은 것은?
회원  UPDATE  (    ) 전화번호 = ‘010-14’ WHERE 회원번호 = ‘N4’;","FROM","SET","INTO","TO",②,"UPDATE문은 항상 SET과 함께 사용됩니다.
회원 UPDATE SET 전화번호 = ‘010-14’ WHERE 회원번호 = ‘N4’;
▼
❶ 회원 테이블을 갱신하라. 
❶ 전화번호를 “010-14”로 갱신하라.
❷ 회원번호가 “N4”인 튜플만을 대상으로 하라."
"다음에서 설명하는 스키마는?
데이터베이스 전체를 정의한 것으로 데이터개체, 관계, 제약조건, 접근권한, 무결성 규칙 등을 명세한 것","개념 스키마","내부 스키마","외부 스키마","내용 스키마",①,"문제의 지문은 개념 스키마에 대한 설명입니다.
ㆍ외부 스키마 : 사용자나 응용 프로그래머가 각 개인의 입장에서 필요로 하는 데이터베이스의 논리적 구조를 정의한 것
ㆍ내부 스키마 : 물리적 저장장치의 입장에서 본 데이터베이스 구조로서 실제로 데이터베이스에 저장될 레코드의 형식을 정의하고 저장 데이터 항목의 표현 방법, 내부 레코드의 물리적 순서 등을 나타냄"
"시스템 카탈로그에 대한 설명으로 틀린 것은?","시스템 카탈로그의 갱신은 무결성 유지를 위하여 SQL을 이용하여 사용자가 직접 갱신하여야 한다.","데이터베이스에 포함되는 데이터 객체에 대한 정의나 명세에 대한 정보를 유지·관리한다.","DBMS가 스스로 생성하고 유지하는 데이터베이스 내의 특별한 테이블의 집합체이다.","카탈로그에 저장된 정보를 메타 데이터라고도 한다.",①,"시스템 카탈로그는 일반 이용자도 SQL을 통해 검색할 수는 있지만, 갱신은 허용되지 않습니다."
"다음 릴레이션의 카디널리티와 차수가 옳게 나타낸 것은
카디널리티 : 4, 차수 : 4
카디널리티 : 4, 차수 : 6
카디널리티 : 6, 차수 : 4
카디널리티 : 6, 차수 : 6", "카디널리티 : 4, 차수 : 4","카디널리티 : 4, 차수 : 6","카디널리티 : 6, 차수 : 4","카디널리티 : 6, 차수 : 6",②,"테이블에 속한 튜플의 수를 카디널리티(Cardinality), 속성의 수를 차수(Degree)라고 하므로 카디널리티는 4, 차수는 6입니다."
"병행제어 기법의 종류가 아닌 것은?","로킹 기법","시분할 기법","타임 스탬프 기법","다중 버전 기법",②,"병행제어 기법의 종류에는 로킹, 타임 스탬프 순서, 최적 병행수행, 다중 버전 기법이 있습니다."
"데이터 속성 간의 종속성에 대한 엄밀한 고려 없이 잘못 설계된 데이터베이스에서는 데이터 처리 연산 수행 시 각종 이상(Anomaly) 현상이 발생할 수 있는데 이러한 이상 현상이 아닌 것은?","검색 이상","삽입 이상","삭제 이상","갱신 이상",①,"이상(Anomaly)의 종류에는 삽입 이상, 삭제 이상, 갱신 이상이 있습니다."
"트랜잭션의 주요 특성 중 하나로, 둘 이상의 트랜잭션이 동시에 병행 실행되는 경우 어느 하나의 트랜잭션 실행 중에 다른 트랜잭션의 연산이 끼어들 수 없음을 의미하는 것은?","Log","Consistency","Isolation","Durability",③,"문제에 제시된 내용은 독립성(Isolation)에 대한 설명입니다.
ㆍ일관성(Consistency) 트랜잭션이 그 실행을 성공적으로 완료하면 언제나 일관성 있는 데이터베이스 상태로 변환함
ㆍ영속성(지속성, Durability) 성공적으로 완료된 트랜잭션의 결과는 시스템이 고장나더라도 영구적으로 반영되어야 함"
"관계형 데이터베이스에서 다음 설명에 해당하는 키(Key)는?
한 릴레이션 내의 속성들의 집합으로 구성된 키로서, 릴레이션을 구성하는 모든 튜플에 대한 유일성은 만족시키지만 최소성은 만족시키지 못한다.","후보키","대체키","슈퍼키","외래키",③,"문제의 지문은 슈퍼키(Super Key)에 대한 설명입니다.
ㆍ후보키(Candidate Key) 릴레이션을 구성하는 속성들 중에서 튜플을 유일하게 식별하기 위해 사용되는 속성들의 부분집합으로 유일성과 최소성을 모두 만족함
ㆍ대체키(Alternate Key) 후보키 중에서 선정된 기본키를 제외한 나머지 후보키를 의미함
ㆍ외래키(Foreign Key) 다른 릴레이션의 기본키를 참조하는 속성 또는 속성들의 집합을 의미하며 릴레이션 간의 관계를 표현할 때 사용함"
"물리적 데이터베이스 설계에 대한 설명으로 거리가 먼 것은?","물리적 설계의 목적은 효율적인 방법으로 데이터를 저장하는 것이다.","트랜잭션 처리량과 응답시간, 디스크 용량 등을 고려해야 한다.","저장 레코드의 형식, 순서, 접근 경로와 같은 정보를 사용하여 설계한다.","트랜잭션의 인터페이스를 설계하며 데이터 타입 및 데이터 타입들 간의 관계로 표현한다.",④,"트랜잭션의 인터페이스를 설계하고 데이터 타입 및 타입들 간의 관계 표현은 논리 데이터베이스 설계에서 수행합니다."
"관계해석에서 모든 것에 대하여의 의미를 나타내는 논리 기호는?","∃","∈","∀","⊂",③,"관계해석에서 모든 것에 대하여(for all)의 의미를 나타내는 연산자는 ‘∀’입니다.
▼
기호 ─ 구성 요소 ─ 설명
⋁   ─ OR 연산 ─ 두 식을 또는이라는 관계로 연결(‘또는’)
⋀   ─ AND 연산 ─ 두 식을 그리고라는 관계로 연결(‘그리고’)
 ⃧  ─ NOT 연산 ─ 식에 대한 부정
∀   ─ 전칭 정량자 ─ 가능한 모든 튜플에 대하여(=‘For All’)
∃   ─ 존재 전량자 ─ 하나라도 일치하는 튜플이 있음(=‘There Exists’)"
"다음 조건에 부합하는 SQL문을 작성하고자 할 때 [SQL]문의 빈칸에 들어갈 내용으로 옳은 것은?
[조건] 이름이 ‘정도일’인 팀원이 소속된 팀코드를 이용하여 해당 팀에 소속된 팀원들의 이름을 출력하는 SQL문 작성
[SQL] SELECT 이름 FROM 직원 WHERE 팀코드 = (      );","이름 = '정도일'","팀코드 = (SELECT 이름 FROM 직원 WHERE 이름 = '정도일')","SELECT 팀코드 FROM 직원 WHERE 이름 = '정도일'","직원 = '정도일'",④,"문제의 질의문은 하위 질의가 있는 질의문입니다. 
먼저 WHERE 조건에 지정된 하위 질의의 SELECT문을 검색합니다. 그리고 검색 결과를 본 질의의 조건에 있는 팀코드 속성값과 비교합니다.
❶ 팀코드 SELECT FROM 직원 WHERE 이름 = ‘정도일’ ;    ⇒ 직원 테이블에서 이름 속성의 값이 ‘정도일'과 같은 레코드의 팀코드 속성의 값을 검색합니다.
❷ 이름 SELECT FROM 직원 WHERE 팀코드 = ❶ ;            ⇒ 직원 테이블에서 팀코드 속성의 값이 ❶의 결과와 같은 레코드의 이름 속성의 값을 검색합니다."
"데이터베이스에 영향을 주는 생성, 읽기, 갱신, 삭제 연산으로 프로세스와 테이블 간에 매트릭스를 만들어서 트랜잭션을 분석하는 것은?","CASE 분석","일치 분석","CRUD 분석","연관성 분석",③,"데이터베이스 테이블에 변화를 주는 트랜잭션의 CRUD 연산에 대해 매트릭스를 작성하여 분석하는 것을 CRUD 분석이라고 합니다."
"데이터베이스에는 관계형, 계층형, 네트워크형 등 다양한 종류가 있는데 이들을 구분하는 기준은?","개체(Object)","관계(Relationship)","속성(Attribute)","제약 조건(Constraint)",②,"관계형, 계층형, 네트워크형 데이터베이스를 구분하는 기준은 관계(Relationship)입니다."
