문제,보기1,보기2,보기3,보기4,정답,해설
"EAI(Enterprise Application Integration)의 구축 유형으로 옳지 않은 것은?","Point-to-Point","Hub & Spoke","Message Bus","Tree",④,"EAI의 구축 유형에는 Point-to-Point, Hub & Spoke, Message Bus(ESB), Hybrid가 있습니다."
"검증 검사 기법 중 개발자의 장소에서 사용자가 개발자 앞에서 행하는 기법이며, 일반적으로 통제된 환경에서 사용자와 개발자가 함께 확인하면서 수행되는 검사는?","동치 분할 검사","형상 검사","알파 검사","베타 검사",③,"개발자의 장소에서 사용자가 개발자 앞에서 행하는 기법은 알파 검사입니다.
ㆍ베타 테스트: 선정된 최종 사용자가 여러 명의 사용자 앞에서 행하는 테스트 기법"
"다음 트리의 차수(degree)는?","2","3","4","5",②,"트리에서 차수(Degree)는 가장 차수가 많은 노드의 차수입니다.
ㆍ문제에 주어진 트리(Tree)에서 각 노드의 차수는 A=2, B=3, C=1, F=2이므로 B 노드의 차수인 3이 이 트리의 차수입니다."
"인터페이스 구현 시 사용하는 기술 중 다음 내용이 설명하는 것은? - JavaScript를 사용한 비동기 통신기술로, 클라이언트와 서버 간에 데이터를 주고받는 기술","Procedure","Trigger","Greedy","AJAX",④,"JavaScript를 사용한 비동기 통신기술로, 클라이언트와 서버 간에 데이터를 주고받는 기술을 AJAX라고 합니다.
ㆍ프로시저(Procedure): 절차형 SQL을 활용하여 특정 기능을 수행하는 일종의 트랜잭션 언어로, 호출을 통해 실행되어 미리 저장해 놓은 SQL 작업을 수행함
ㆍ트리거(Trigger): 데이터베이스 시스템에서 데이터의 삽입, 갱신, 삭제 등의 이벤트(Insert, Update, Delete)가 발생할 때마다 관련 작업이 자동으로 수행되는 (Event) 절차형 SQL
ㆍ탐욕 알고리즘(Greedy Algorithm): 알고리즘 설계 기법 중 하나로 완벽한 해결책보다는 차선책을 목표로 하며, 상황에 맞는 해결책을 즉석에서 모색하는 방식"
"해싱 함수 중 레코드 키를 여러 부분으로 나누고, 나눈 부분의 각 숫자를 더하거나 XOR한 값을 홈 주소로 사용하는 방식은?","제산법","폴딩법","기수 변환법","숫자 분석법",②,"한 값을 홈 주소로 사용하는 방식은 폴딩법입니다(Folding).
ㆍ제산법: 레코드 키(K)를 해시표(Hash Table)의 크기보다 큰 수 중에서 가장 작은 소수(Prime, Q)로 나눈 나머지를 홈 주소로 삼는 방식, 즉 h(K) = K mod Q 임
ㆍ기수 변환법(Radix): 키 숫자의 진수를 다른 진수로 변환시켜 주소 크기를 초과한 높은 자릿수는 절단하고, 이를 다시 주소 범위에 맞게 조정하는 방법
ㆍ계수 분석법/숫자 분석법: 키 값을 이루는 숫자의 분포를 분석하여 비교적 고른 자리를 필요한 만큼 택해서 홈 주소로 삼는 방식"
"다음 자료에 대하여 선택 정렬을 이용하여 오름차순으로 정렬하고자 한다. 3회전 후의 결과로 옳은 것은? (입력: 37, 14, 17, 40, 35)","14, 17, 37, 40, 35","14, 37, 17, 40, 35","17, 14, 37, 35, 40","14, 17, 35, 40, 37",④,"선택 정렬은 n개의 레코드 중에서 최소값을 찾아 첫 번째 레코드 위치에 놓고, 나머지 n-1개 중에서 다시 최소값을 찾아 두 번째 레코드 위치에 놓는 방식을 반복하여 정렬하는 방식입니다.
원본 : 37,  14,  17,  40,  35 
❶회전 1  14,  37,  17,  40,  35 
❷회전 2  14,  17,  37,  40,  35 
❸회전 3  14,  17,  35,  40,  37 
❹회전 4  14,  17,  35,  37,  40"
"소스 코드 품질 분석 도구 중 정적 분석 도구가 아닌 것은?","pmd","checkstyle","valance","cppcheck",③,"정적 분석 도구에는 pmd, cppcheck, SonarQube, checkstyle, ccm, cobertura 등이 있습니다."
"다음 트리에 대한 중위 순회 운행 결과는?","ABDCEF","ABCDEF","DBECFA","DBAECF",④,"먼저 서브트리를 하나의 노드로 생각할 수 있도록 서브트리 단위로 묶습니다. 
중위 순회(Inorder)는 Left → Root → Right 이므로 
❶  1A2 가 됩니다. 
❷ 1은 DB 이므로 DBA2가 됩니다. 
❸ 2는 ECF 이므로 DBAECF가 됩니다."
"소프트웨어 테스트와 관련한 설명으로 틀린 것은?","화이트박스 테스트는 모듈의 논리적인 구조를 체계적으로 점검할 수 있다.","블랙박스 테스트는 프로그램의 구조를 고려하지 않는다.","테스트 케이스에는 일반적으로 시험 조건, 테스트 데이터, 예상 결과가 포함되어야 한다.","화이트박스 테스트에서 기본 경로란 흐름 그래프의 시작 노드에서 종료 노드까지의 서로 독립된 경로로 싸이클을 허용하지 않는 경로를 말한다.",④,"기초 경로(Base Path = Basis Path)는 수행 가능한 모든 경로를 의미합니다."
"소프트웨어 형상 관리에 대한 설명으로 거리가 먼 것은?","소프트웨어에 가해지는 변경을 제어하고 관리한다.","프로젝트 계획서, 분석서, 설계서, 프로그램, 테스트 케이스 모두 관리 대상이다.","대표적인 형상 관리 도구로 Ant, Maven, Gradle 등이 있다.","유지 보수 단계뿐만 아니라 개발 단계에도 적용할 수 있다.",③,"Ant, Maven, Gradle은 빌드 자동화 도구입니다. 
ㆍ형상 관리 도구에는 Git, CVS, Subversion, Mercurial 등이 있습니다."
