문제,보기1,보기2,보기3,보기4,정답,해설
"정보 시스템 개발 단계에서 프로그래밍 언어 선택 시 고려할 사항으로 가장 거리가 먼 것은?","개발 정보 시스템의 특성","사용자의 요구사항","컴파일러의 가용성","컴파일러의 독창성",④,"프로그래밍 언어를 선택할 때는 시스템의 특성, 사용자의 요구, 컴파일러의 가용성 등이 중요합니다. 독창성보다는 표준화, 유지보수성, 호환성이 더 필요합니다."
"C Class에 속하는 IP address는?","200.168.30.1","10.3.2.1","225.2.4.1","172.16.98.3",①,"C Class 주소 범위는 192.0.0.0 ~ 223.255.255.255입니다. 200.168.30.1이 C Class입니다."
"다음 Python 프로그램이 실행되었을 때 실행 결과는?  
a = 100  
list_data = ['a','b','c']  
dict_data = {'a':90, 'b':95}  
print(list_data[0])  
print(dict_data['a'])","a\n90","100\n90","100\n100","a\na",①,"list_data[0]은 'a', dict_data['a']는 90입니다."
"파이썬의 변수 작성 규칙 설명으로 옳지 않은 것은?","첫 자리에 숫자를 사용할 수 없다.","영문 대문자/소문자/숫자/밑줄(_)의 사용이 가능하다.","변수 이름의 중간에 공백을 사용할 수 있다.","이미 사용되고 있는 예약어는 사용할 수 없다.",③,"파이썬 변수에는 공백(빈칸)을 사용할 수 없습니다."
"C 언어 프로그램에서 밑줄 친 부분과 동일한 의미를 가지는 것은 어떤 것인가?  
#include <stdio.h>  
main() {  
    int a, b;  
    for (a = 0; a < 2; a++)  
        for (b = 0; b < 2; b++)  
            printf(\"%d\", !a && !b);  
}  
!a || !b","!(a || b)","a && b","a || b",②,"!a && !b는 (a || b)의 부정, 즉 !(a || b)와 논리적으로 같습니다(드모르간 법칙)."
"다음 중 페이지 교체(Page Replacement)알고리즘이 아닌 것은?","FIFO(First-In-First-Out)","LUF(Least Used First)","Optimal","LRU(Least Recently Used)",②,"옵션 2번의 LUF(Least Used First)는 존재하지 않는 알고리즘입니다. FIFO, Optimal, LRU는 모두 대표적 페이지 교체 알고리즘입니다."
"HRN 방식으로 스케줄링 할 경우, 입력된 작업이 다음과 같을 때 처리되는 작업 순서로 옳은 것은?  
작업  대기 시간  서비스(실행)시간  
A      5          20  
B     40          20  
C     15          45  
D     20           2","A → B → C → D","A → C → B → D","D → B → C → A","D → A → B → C",③,"HRN(Highest Response-ratio Next)에서 각 우선순위는  
A: (5+20)/20 = 1.25  
B: (40+20)/20 = 3  
C: (15+45)/45 = 1.33  
D: (20+2)/2 = 11  
따라서 순서: D → B → C → A"
"UNIX에서 새로운 프로세스를 생성하는 명령어는?","ls","cat","fork","chmod",③,"fork는 UNIX에서 새로운 프로세스를 만드는 명령입니다."
"시간 구역성과 거리가 먼 것은?","루프","서브루틴","배열 순회","스택",③,"시간 구역성은 가까운 시간에 참조될 가능성, 루프·서브루틴·스택에 해당하고, 배열(공간 구역성에 가까움)은 덜 해당됩니다."
"TCP 헤더와 관련한 설명으로 틀린 것은?","순서 번호(Sequence Number)는 전달하는 바이트마다 번호가 부여된다.","수신 번호 확인(Acknowledgement Number)은 상대편 호스트에서 받으려는 바이트의 번호를 정의한다.","체크섬(Checksum)은 데이터를 포함한 세그먼트의 오류를 검사한다.","윈도우 크기는 송수신 측의 버퍼 크기로 최대 크기는 32767bit이다.",④,"윈도우 크기는 실제로 송수신 측의 버퍼 크기를 나타내지만, 16비트 필드로 최대값이 65535입니다."
"OSI 7계층 모델에서 전송에 필요한 장치 간의 실제 접속과 절단 등 기계적/전기적/기능적/절차적 특성을 정의한 계층은?","물리 계층","데이터 링크 계층","네트워크 계층","전송 계층",①,"물리 계층은 송수신장치의 전기적, 기계적, 절차적, 기능적 특성을 정의합니다."
"네트워크를 192.168.1.0/24 FLSM 방식으로 4 Subnet으로 나누고 Subnetting을 적용했다. 이 때 4번째 네트워크의 4번째 사용 가능한 IP는 무엇인가?","192.168.1.192","192.168.1.195","192.168.1.196","192.168.1.198",③,"4번째 서브넷 주소: 192.168.1.192  
네트워크(192), 첫 번째(193), 두 번째(194), 세 번째(195), 네 번째(196). 192.168.1.196"
"UNIX에 대한 설명으로 옳지 않은 것은?","상당 부분 C 언어를 사용하여 작성되었으며 이식성이 우수하다.","사용자는 하나 이상의 작업을 백그라운드에서 수행할 수 있어 여러 개의 작업을 병행 처리할 수 있다.","쉘은 프로세스 관리, 기억장치 관리, 입출력 관리 등의 기능을 수행한다.","두 사람 이상의 사용자가 동시에 시스템을 사용할 수 있어 정보와 유틸리티들을 공유하는 편리한 작업 환경을 제공한다.",③,"쉘(shell)은 명령어 해석기 역할만 하며, 프로세스/기억장치/입출력 관리는 커널(kernel)이 담당합니다."
"빈 기억공간의 크기가 20KB, 16KB, 8KB, 40KB일 때 기억장치 배치 전략으로 “Best Fit”을 사용하여 17KB의 프로그램을 적재할 경우 내부 단편화의 크기는 얼마인가?","3KB","23KB","64KB","67KB",①,"Best Fit: 프로그램(17KB)에 가장 근접한 20KB에 배치, 내부 단편화는 3KB(20-17)."
"C 언어에서 두 개의 논리 값 중 하나라도 참이면 1, 모두 거짓이면 0을 반환하는 연산자는?","||","&&","**","!=",①,"'||'는 논리합(OR) 연산자입니다."
"결합도 단계를 약한 순서에서 강한 순서로 가장 옳게 표시한 것은?","Stamp → Data → Control → Common → Content","Control → Data → Stamp → Common → Content","Content → Stamp → Control → Common → Data","Data → Stamp → Control → Common → Content",④,"약한 순에서 강한 순: Data → Stamp → Control → Common → Content"
"다음 자바 프로그램 조건문에 대해 삼항 조건 연산자를 사용하여 옳게 나타낸 것은?  
int i = 7, j = 9;  
int k;  
if (i > j)  
    k = i - j;  
else  
    k = i + j;","k = (i > j) ? (i - j) : (i + j);","k = (i < j) ? (i - j) : (i + j);","k = (i > j) ? (i + j) : (i - j);","k = (i < j) ? (i + j) : (i - j);",①,"if (i > j)이면 k = i - j, 아니면 i + j  
→ (i > j) ? (i - j) : (i + j)"
"다음 내용이 설명하는 소프트웨어 취약점은?  
메모리를 다루는 데 오류가 발생하여 잘못된 동작을 하는 프로그램 취약점","바운스 공격","SQL 삽입","버퍼 오버플로","디렉토리 접근 공격",③,"버퍼 오버플로(buffer overflow)는 메모리에서 경계 밖 데이터를 다루어 이상 동작/취약점을 유발하는 대표 사례입니다."
"배치 프로그램의 필수 요소에 대한 설명으로 틀린 것은?","자동화는 심각한 오류 상황 외에는 사용자의 개입 없이 동작해야 한다.","안정성은 어떤 문제가 생겼는지, 언제 발생했는지 등을 추적할 수 있어야 한다.","대용량 데이터는 대용량의 데이터를 처리할 수 있어야 한다.","무결성은 주어진 시간 내에 처리를 완료할 수 있어야 하고, 동시에 동작하고 있는 다른 애플리케이션을 방해하지 말아야 한다.",④,"무결성은 데이터 신뢰성·정합성의 의미이며, 주어진 시간 내 처리, 타 프로그램 방해 방지 등은 무결성과 상관없습니다."
