문제,보기1,보기2,보기3,보기4,정답,해설
"소프트웨어 생명주기 모형에서 프로토타입 모형의 장점이 아닌 것은?","단기간 제작 목적으로 인하여 비효율적인 언어나 알고리즘을 사용할 수 있다.","개발과정에서 사용자의 요구를 충분히 반영한다.","최종 결과물이 만들어지기 전에 의뢰자가 최종결과물의 일부 혹은 모형을 볼 수 있다.","의뢰자나 개발자 모두에게 공동의 참조 모델을 제공한다.",①,"프로토타입 모형의 장점은 사용자의 요구 반영, 부분 결과 사전 확인, 공동 참조 모델 제공 등입니다. 단기간 제작 목적상 비효율적 언어나 알고리즘을 사용할 수 있다는 것은 단점에 가깝지 장점이 아닙니다."
"COCOMO Model 중 기관 내부에서 개발된 중소 규모의 소프트웨어로 일괄 자료 처리나 과학기술 계산용/비즈니스 자료 처리용으로 5만 라인 이하의 소프트웨어를 개발하는 유형은?","Embeded","Organic","Semi-Detached","Semi-Embeded",②,"COCOMO(Constructive Cost Model)는 개발 규모에 따라 3가지 유형으로 구분됩니다. (1) Organic Mode: 5만 라인 이하의 중소규모, 단순한 업무 (2) Semi-detached: 중간규모, 중간 복잡도 (3) Embedded: 대규모, 복잡도 높은 소프트웨어"
"CMMI의 단계가 아닌 것은?","초기","관리","정의","반복",④,"CMMI(Capability Maturity Model Integration) 단계: 초기(Initial), 관리(Managed), 정의(Defined), 정량적 관리(Quantitatively Managed), 최적화(Optimizing) 등이며 '반복'은 공식 단계에 해당하지 않습니다."
"프로젝트에 내재된 위험 요소를 인식하고 그 영향을 분석하여 이를 관리하는 활동으로서 프로젝트를 성공시키기 위하여 위험 요소를 사전에 예측·대비하는 모든 기술과 활동을 포함하는 것은?","Critical Path Method","Risk Analysis","Work Breakdown Structure","Waterfall Model",①,"프로젝트 위험 관리의 핵심은 위험분석(Risk Analysis)과 사전대응, 그리고 프로젝트 일정 중 비판경로(Critical Path) 관점 등 모두 해당, 그러나 보기중 공식명칭은 Risk Analysis입니다."
"취약점 관리를 위한 응용 프로그램의 보안 설정과 가장 거리가 먼 것은?","서버 관리실 출입 통제","실행 프로세스 권한 설정","운영체제의 접근 제한","운영체제의 정보 수집 제한",①,"서버 관리실 출입 통제는 물리적 보안에 해당하며, 응용 프로그램 보안 설정 항목과는 거리가 멉니다."
"다음이 설명하는 용어로 옳은 것은?
ㆍ오픈 소스를 기반으로 한 분산 컴퓨팅 플랫폼이다.
ㆍ일반 PC급 컴퓨터들로 가상화된 대형 스토리지를 형성한다.
ㆍ다양한 소스를 통해 생성된 빅데이터를 효율적으로 저장하고 처리한다.","하둡(Hadoop)","비컨(Beacon)","포스퀘어(Foursquare)","맴리스터(Memristor)",①,"하둡(Hadoop)은 오픈 소스 기반의 분산 컴퓨팅 플랫폼으로, 대형 스토리지와 빅데이터 효율 처리에 특화되어 있습니다."
"IP 또는 ICMP의 특성을 악용하여 특정 사이트에 집중적으로 데이터를 보내 네트워크 또는 시스템의 상태를 불능으로 만드는 공격 방법은?","TearDrop","Smishing","Qshing","Smurfing",④,"스머핑(Smurfing)은 ICMP 에코 요청을 대량으로 발생시켜 네트워크·시스템 마비를 유도하는 대표적 DDoS 공격 방식입니다."
"백도어 탐지 방법으로 틀린 것은?","무결성 검사","닫힌 포트 확인","로그 분석","파일 검사 SetUID",②,"닫힌 포트 확인은 백도어 탐지와 직접 관련성이 크지 않으며, 주로 열린 포트나 파일 무결성, 로그 분석, 특수 권한(SetUID) 확인 등으로 탐지합니다."
"정보 보안의 3요소에 해당하지 않는 것은?","기밀성","휘발성","무결성","가용성",②,"정보 보안의 3요소: 기밀성, 무결성, 가용성이며, 휘발성은 보안성에 해당하지 않습니다."
"기존 무선 랜의 한계 극복을 위해 등장하였으며 대규모 디바이스의 네트워크 생성에 최적화되어 차세대 이동통신, 홈네트워킹, 공공 안전 등의 특수목적에 사용되는 새로운 방식의 네트워크 기술을 의미하는 것은?","Software Defined Perimeter","Virtual Private Network","Local Area Network","Mesh Network",④,"Mesh Network(메쉬 네트워크)는 분산 구조·대규모 디바이스에 적합한 차세대 무선 네트워크 기술입니다."
"물리적 위협으로 인한 문제에 해당하지 않는 것은?","화재·홍수 등 천재지변으로 인한 위협","하드웨어 파손·고장으로 인한 장애","방화·테러로 인한 하드웨어와 기록장치를 물리적으로 파괴하는 행위","방화벽 설정의 잘못된 조작으로 인한 네트워크·서버 보안 위협",④,"방화벽 설정 오류는 기술적(논리적) 위협이지 물리적 위협에 해당하지 않습니다."
"COCOMO(Constructive Cost Model) 모형의 특징이 아닌 것은?","프로젝트를 완성하는데 필요한 Man-Month로 산정 결과를 나타낼 수 있다.","보헴(Boehm)이 제안한 것으로 원시 코드 라인 수에 의한 비용 산정 기법이다.","비교적 작은 규모의 프로젝트 기록을 통계 분석하여 얻은 결과를 반영한 모델이며 중소 규모 소프트웨어 프로젝트 비용 추정에 적합하다.","프로젝트 개발 유형에 따라 object, dynamic, function 3가지 모드로 구분한다.",④,"COCOMO 모형의 개발 유형은 조직형(Organic), 반분리형(Semi-Detached), 내장형(Embedded) 세 가지 모드입니다. object, dynamic, function은 COCOMO 모형의 개발 유형과 다릅니다."
"소인수 분해 문제를 이용한 공개키 암호화 기법에 널리 사용되는 암호 알고리즘 기법은?","RSA","ECC","PKI","PRM",①,"RSA는 소인수 분해의 어려움을 이용한 대표적 공개키 암호화 방식입니다."
"암호화 키와 복호화 키가 동일한 암호화 알고리즘은?","RSA","AES","DSA","ECC",②,"AES는 대칭키(암복호화 키 동일) 알고리즘이며, RSA, DSA, ECC는 비대칭키(공개/개인키 방식)입니다."
"소프트웨어 개발 프레임워크를 적용할 경우 기대 효과로 거리가 먼 것은?","품질 보증","시스템 복잡도 증가","개발 용이성","변경 용이성",②,"프레임워크는 보통 시스템 복잡도를 낮추고 개발, 변경 용이성·품질 향상에 기여합니다. 복잡도 증가와는 거리가 멉니다."
"전자 칩과 같은 소프트웨어 부품, 즉 블록, 모듈을 만들어서 끼워 맞추는 방법으로 소프트웨어를 완성시키는 재사용 방법은?","합성 중심","생성 중심","분리 중심","구조 중심",①,"합성 중심 재사용은 소프트웨어 부품(블록, 모듈)의 조합·조립을 통한 재사용을 의미합니다."
"다음 내용이 설명하는 것은?
ㆍ네트워크상에 광채널 스위치의 이점인 고속 전송과 장거리 연결 및 멀티 프로토콜 기능을 활용
ㆍ각기 다른 운영체제를 가진 여러 기종들이 네트워크상에서 동일 저장장치의 데이터를 공유하게 함으로써 여러 개의 저장장치나 백업 장비를 단일화시킨 시스템","SAN","MBR","NAC","NIC",①,"SAN(Storage Area Network)는 고속 광채널 스위치 기반 저장장치 네트워크의 대표적 예입니다."
"시스템의 사용자가 로그인하여 명령을 내리는 과정에 대한 시스템의 동작 중 다음 설명에 해당하는 것은?
ㆍ자신의 신원(Identity)을 시스템에 증명하는 과정이다.
ㆍ아이디와 패스워드를 입력하는 과정이 가장 일반적인 예시라고 볼 수 있다.","Aging","Accounting","Authorization","Authentication",④,"신원 증명은 Authentication(인증) 단계에 해당합니다."
"OSI 7 Layer 전 계층의 프로토콜과 패킷 내부의 콘텐츠를 파악하여 침입 시도, 해킹 등을 탐지하고 트래픽을 조정하기 위한 패킷 분석 기술은?","PLCP(Packet Level Control Processor)","Traffic Distributor","Packet Tree","DPI(Deep Packet Inspection)",④,"DPI(Deep Packet Inspection)는 오픈 패킷의 콘텐츠까지 분석하여 보안 및 트래픽 제어에 사용하는 기술입니다."
"세션 하이재킹을 탐지하는 방법으로 거리가 먼 것은?","FTP SYN SEGMENT 탐지","비동기화 상태 탐지","ACK STORM 탐지","패킷의 유실 및 재전송 증가 탐지",①,"FTP SYN SEGMENT 탐지는 세션 하이재킹 방식이 아니라 FTP 프로토콜 내 특정 문제 탐지에 가깝습니다. 세션 하이재킹에서는 비동기화 상태, ACK storm, 패킷 유실/재전송 등이 탐지 포인트입니다."
