문제,보기1,보기2,보기3,보기4,정답,해설
"UML 확장 모델에서 스테레오 타입 객체를 표현할 때 사용하는 기호로 맞는 것은?","<< >>","(( ))","{{ }}","[[ ]]",①,"UML에서 스테레오타입을 표현할 때 사용하는 기호는 << >>입니다."
"메시지 지향 미들웨어(Message-Oriented Middleware, MOM)에 대한 설명으로 틀린 것은?","느리고 안정적인 응답보다는 즉각적인 응답이 필요한 온라인 업무에 적합하다.","독립적인 애플리케이션을 하나의 통합된 시스템으로 묶기 위한 역할을 한다.","송신측과 수신측의 연결 시 메시지 큐를 활용하는 방법이 있다.","상이한 애플리케이션 간 통신을 비동기 방식으로 지원한다.",①,"MOM은 높은 안정성(느린 대신 안정적)이 필요한 업무에 적합하고, 즉각적인 응답이 필요한 온라인 업무보다는 배치 처리, 대기 지향적 업무에 강점이 있습니다."
"럼바우(Rumbaugh)의 객체지향 분석 절차를 가장 바르게 나열한 것은?","객체 모형 → 동적 모형 → 기능 모형","객체 모형 → 기능 모형 → 동적 모형","기능 모형 → 동적 모형 → 객체 모형","기능 모형 → 객체 모형 → 동적 모형",①,"럼바우(Rumbaugh) 분석 절차는 객체 모델링→동적 모델링→기능 모델링 순으로 이루어집니다."
"디자인 패턴 분류에 해당하지 않는 것은?","생성 패턴","객체 패턴","행위 패턴","구조 패턴",②,"GoF 디자인 패턴 분류에는 생성(Creational), 구조(Structural), 행위(Behavioral) 패턴이 있으며, 객채(객체) 패턴은 별도의 분류로 사용하지 않습니다."
"다음 중 가장 결합도가 강한 것은?","Date Coupling","Stamp Coupling","Common Coupling","Control Coupling",③,"결합도가 강한 순서: Content > Common > Control > Stamp > Data(약할수록 좋음). Common Coupling이 제시된 보기 중 가장 강합니다."
"아키텍처 설계 과정이 올바른 순서로 나열된 것은?","㉮ → ㉯ → ㉰ → ㉱ → ㉲","㉲ → ㉮ → ㉯ → ㉱ → ㉰","㉮ → ㉲ → ㉯ → ㉱ → ㉰","㉮ → ㉯ → ㉰ → ㉲ → ㉱",①,"설계 목표 설정 → 시스템 타입 결정 → 스타일 적용/커스터마이즈 → 서브시스템 기능·인터페이스·동작 작성 → 아키텍처 설계 검토 순입니다."
"소프트웨어 설계 시 구축된 플랫폼의 성능 특성 분석에 사용되는 측정 항목이 아닌 것은?","응답 시간(Response Time)","서버 튜닝(Server Tuning)","가용성(Availability)","사용률(Utilization)",②,"서버 튜닝은 성능 분석의 결과로 취해지는 조치이지, 직접적인 성능 측정 항목이 아닙니다."
"다음 내용이 설명하는 객체지향 설계 원칙은?
ㆍ클라이언트는 자신이 사용하지 않는 메소드와 의존관계를 맺으면 안 된다.
ㆍ클라이언트가 사용하지 않는 인터페이스 때문에 영향을 받아서는 안 된다.","인터페이스 분리 원칙","단일 책임 원칙","개방 폐쇄의 원칙","리스코프 교체의 원칙",①,"IS(Interface Segregation Principle), 인터페이스를 분리하라는 원칙입니다."
"XP(eXtreme Programming)의 5가지 가치로 거리가 먼 것은?","용기","의사소통","정형 분석","피드백",③,"XP의 5대 가치는 용기, 의사소통, 피드백, 존중, 단순성입니다. 정형 분석은 아님."
"객체지향 개념에서 연관된 데이터와 함수를 함께 묶어 외부와 경계를 만들고 필요한 인터페이스만을 밖으로 드러내는 과정은?","메시지(Message)","캡슐화(Encapsulation)","다형성(Polymorphism)","상속(Inheritance)",②,"캡슐화는 데이터/메소드 묶어서 정보은닉, 필요한 인터페이스만 노출합니다."
"HIPO(Hierarchy Input Process Output)에 대한 설명으로 옳지 않은 것은?","상향식 소프트웨어 개발을 위한 문서화 도구이다.","구조도·개요 도표·상세 도표 집합으로 구성된다.","기능과 자료의 의존 관계를 통해서 표현할 수 있다.","보기 쉽고 이해하기 쉽다.",①,"HIPO는 하향식(Top-Down) 개발 문서화 도구입니다."
"데이터 흐름도(DFD)의 구성 요소에 포함되지 않는 것은?","Data Flow","Data Dictionary","Process","Data Store",②,"자료사전(Data Dictionary)은 DFD의 4대 구성요소(프로세스, 자료흐름, 자료저장소, 단말)에 포함되지 않습니다."
"객체에게 어떤 행위를 하도록 지시하는 명령은?","Class","Instance","Object","Message",④,"객체에 대한 메시지(Message)가 해당 객체의 연산이나 행위를 유발합니다."
"디자인 패턴 중 생성 패턴으로 옳은 것은?","Singleton Pattern","Adapter Pattern","Decorator Pattern","State Pattern",①,"생성 패턴: Singleton, Factory, Abstract Factory, Builder, Prototype 등이 있습니다."
"럼바우(Rumbaugh) 분석 기법에서 정보 모델링이라고도 하며 시스템에서 요구되는 객체를 찾아내어 속성과 연산 식별 및 객체들 간의 관계를 규정하여 다이어그램을 표시하는 모델링은?","Object","Dynamic","Function","Static",①,"Object Modeling(객체 모델링)이 정보 모델링, 구조 모델링 등으로도 불립니다."
"다음 결합도의 종류에 대한 설명 중 틀린 것은?
자료 결합도: 모듈 간의 인터페이스가 자료 요소로만 구성될 때의 결합도
내용 결합도: 한 모듈이 다른 모듈과 제어 신호를 이용하여 통신하고, 공유되는 공통 데이터 영역을 사용할 때의 결합도
스탬프 결합도: 모듈 간의 인터페이스로 배열의 자료 구조가 전달될 때의 결합도
외부 결합도: 어떤 모듈에서 선언한 데이터를 다른 모듈에서 참조할 때의 결합도","①","②","③","④",②,"내용 결합도는 한 모듈이 다른 모듈의 내부 내용을 참조(직접접근/변경 등)하는 경우를 의미합니다."
"CASE(Computer Aided Software Engineering)에 대한 설명으로 틀린 것은?","소프트웨어 모듈의 재사용성이 향상된다.","자동화된 기법을 통해 소프트웨어 품질이 향상된다.","소프트웨어 사용자들에게 사용 방법을 신속히 숙지시키기 위해 사용된다.","소프트웨어 유지보수를 간편하게 수행할 수 있다.",③,"CASE는 소프트웨어 '개발'을 돕는 도구로, 사용자 교육과는 직접적 관련이 없습니다."
