문제,보기1,보기2,보기3,보기4,정답,해설
"구현 단계에서의 작업 절차를 순서에 맞게 나열한 것은?","㉠ → ㉡ → ㉢ → ㉣","㉡ → ㉠ → ㉣ → ㉢","㉢ → ㉠ → ㉡ → ㉣","㉣ → ㉡ → ㉠ → ㉢",②,"1) 코딩 작업을 계획한다 2) 코딩한다 3) 컴파일한다 4) 코드를 테스트한다. 순서: ㉡(계획) → ㉠(구현) → ㉣(컴파일) → ㉢(테스트)."
"소프트웨어 품질 목표 중 쉽게 배우고 사용할 수 있는 정도를 나타내는 것은?","Correctness","Reliability","Usability","Integrity",③,"Usability(사용성, 용이성)은 배우기 쉽고 사용하기 쉬운 정도를 의미합니다."
"객체지향 개념을 활용한 소프트웨어 구현과 관련한 설명 중 틀린 것은?","객체란 필요한 자료 구조와 수행되는 함수들을 가진 하나의 독립된 존재이다.","JAVA에서 정보은닉(Information Hiding)을 표기할 때 ‘private’의 의미는 공개이다.","상속은 개별 클래스를 상속 관계로 묶음으로써 클래스 간의 체계화된 전체 구조를 파악하기 쉽다는 장점이 있다.","같은 클래스에 속하는 개개의 객체이자 하나의 클래스에서 생성된 객체를 인스턴스라고 한다.",②,"private는 공개가 아니라 비공개 또는 은닉(내부용)을 의미합니다."
"다음 설명에 부합하는 용어로 옳은 것은?  
ㆍ소프트웨어 구조를 이루며,  
다른 것들과 구별될 수 있는 독립적인 기능을 갖는 단위이다.  
ㆍ하나 또는 몇 개의 논리적인 기능을 수행하기 위한 명령어들의 집합이라고도 할 수 있다.  
ㆍ서로 모여 하나의 완전한 프로그램으로 만들어질 수 있다.","통합 프로그램","저장소","모듈","데이터",③,"각각의 모듈(Module)이 모여 프로그램을 구성합니다."
"스택에 대한 설명으로 틀린 것은?","입출력이 한쪽 끝으로만 제한된 리스트이다.","Head(front)와 Tail(rear)의 2개 포인터를 갖고 있다.","LIFO 구조이다.","더 이상 삭제할 데이터가 없는 상태에서 데이터를 삭제하면 언더플로(Underflow)가 발생한다.",②,"Head와 Tail은 큐(Queue)에서 사용되는 용어입니다. 스택은 top 포인터만 있습니다."
"다음 전위식(prefix)을 후위식(postfix)으로 옳게 표현한 것은?  
- / * A + B C D E","A B C + * D / E -","A B * C D / + E -","A B * C + D / E -","A B C + * D / E -",④,"전위식을 후위식으로 변환하면 A B C + * D / E -가 됩니다."
"버블 정렬을 이용하여 다음 자료를 오름차순으로 정렬할 경우 1 PASS의 결과는?  
9, 6, 7, 3, 5","6, 9, 7, 3, 5","3, 9, 6, 7, 5","3, 6, 7, 9, 5","6, 7, 3, 5, 9",①,"1회전(1 PASS) 후 결과: 6, 9, 7, 3, 5, 9에서 6, 9, 7, 3, 5(마지막 9 생략)"
"해싱 함수(Hashing Function)의 종류가 아닌 것은?","제곱법(Mid-Square)","숫자 분석법(Digit Analysis)","개방주소법(Open Addressing)","제산법(Division)",③,"개방주소법은 해싱 충돌 해결(저장 방법)에 쓰이는 방식이고, 나머지는 해싱 함수 종류입니다."
"소프트웨어 패키징 도구 활용 시 고려사항으로 틀린 것은?","반드시 내부 콘텐츠에 대한 암호화 및 보안을 고려한다.","보안을 위하여 이기종 연동을 고려하지 않아도 된다.","사용자 편의성을 위한 복잡성 및 비효율성 문제를 고려한다.","제품 소프트웨어 종류에 적합한 암호화 알고리즘을 적용한다.",②,"이기종 연동도 이용자 편의를 위해 반드시 고려해야 합니다."
"소프트웨어 설치 매뉴얼에 대한 설명으로 틀린 것은?","설치 과정에서 표시될 수 있는 예외상황에 관련 내용을 별도로 구분하여 설명한다.","설치 시작부터 완료할 때까지의 전 과정을 빠짐없이 순서대로 설명한다.","설치 매뉴얼은 개발자 기준으로 작성한다.","설치 매뉴얼에는 목차, 개요, 기본사항 등이 기본적으로 포함되어야 한다.",③,"설치 매뉴얼은 사용자를 기준으로 작성하여야 합니다."
