문제,보기1,보기2,보기3,보기4,정답,해설
"하나의 애트리뷰트가 가질 수 있는 원자값들의 집합을 의미하는 것은?","도메인","튜플","엔티티","다형성",①,"도메인(domain)은 한 애트리뷰트가 가질 수 있는 값들의 집합을 의미합니다."
"데이터베이스에서 릴레이션에 대한 설명으로 틀린 것은?","모든 튜플은 서로 다른 값을 가지고 있다.","하나의 릴레이션에서 튜플은 특정한 순서를 가진다.","각 속성은 릴레이션 내에서 유일한 이름을 가진다.","모든 속성 값은 원자값(Atomic Value)을 가진다.",②,"릴레이션의 튜플(행)에는 순서가 없습니다. (정렬X)"
"DML에 해당하는 것으로만 나열된 것은?","SELECT, UPDATE, INSERT","SELECT, UPDATE, GRANT","SELECT, INSERT, GRANT","SELECT, UPDATE, INSERT, GRANT",①,"DML(Data Manipulation Language)에는 SELECT, UPDATE, INSERT, DELETE 등이 있습니다. GRANT는 DCL(제어어)입니다."
"다음은 관계 대수의 수학적 표현식이다. 해당되는 연산은?  
R x S = { r·s | r∈R ∧ s∈S }
r = < a₁, a₂, ..., aₙ >, s = < b₁, b₂, ..., bₘ >","합집합","교집합","차집합","카티션 프로덕트",④,"두 릴레이션의 곱(데카르트 곱, 카티션 프로덕트)을 의미합니다."
"병렬 데이터베이스 환경 중 수평 분할에서 활용되는 분할 기법이 아닌 것은?","라운드로빈","범위 분할","예측 분할","해시 분할",③,"예측 분할은 병렬 DB 수평 분할의 대표적 기법이 아닙니다."
"분산 데이터베이스 시스템과 관련한 설명으로 틀린 것은?","물리적으로 분산된 데이터베이스 시스템을 논리적으로 하나의 데이터베이스 시스템처럼 사용할 수 있도록 한 것이다.","물리적으로 분산되어 지역별로 필요한 데이터를 처리할 수 있는 지역 컴퓨터(Local Computer)를 분산 처리기(Distributed Processor)라고 한다.","분산 데이터베이스 시스템을 위한 통신 네트워크 구조가 데이터 통신에 영향을 주므로 효율적으로 설계해야 한다.","데이터베이스가 분산되어 있음을 사용자가 인식할 수 있도록 분산 투명성(Distribution Transparency)을 배제해야 한다.",④,"분산 DBMS는 사용자에게 분산을 투명하게 하여, 사용자는 분산 여부를 인식하지 못합니다(투명성 제공이 목표임)."
"스키마의 종류 중 조직이나 기관의 총괄적 입장에서 본 데이터베이스의 전체적인 논리적 구조로서 모든 응용 프로그램이나 사용자들이 필요로 하는 데이터를 종합한 조직 전체의 데이터베이스 구조를 의미하는 것은?","관계 스키마","외부 스키마","내부 스키마","개념 스키마",④,"개념(Conceptual) 스키마는 조직의 전체 논리적 구조를 나타냅니다."
"학적 테이블에서 전화번호가 Null 값이 아닌 학생명을 모두 검색할 때 SQL 구문으로 옳은 것은?","SELECT 학생명 FROM 학적 WHERE 전화번호 DON'T NULL;","SELECT 학생명 FROM 학적 WHERE 전화번호 != NOT NULL;","SELECT 학생명 FROM 학적 WHERE 전화번호 IS NOT NULL;","SELECT 학생명 FROM 학적 WHERE 전화번호 IS NULL;",③,"Null 값이 아닌 행 검색: IS NOT NULL"
"다음 중 SQL에서의 DDL문이 아닌 것은?","CREATE","DELETE","ALTER","DROP",②,"DELETE는 DML(조작어)입니다."
"다음 SQL문장이 뜻하는 것은?  
INSERT INTO 컴퓨터과테이블(학번,이름,학년)  
SELECT 학번,이름,학년 FROM 학생테이블 WHERE 학과='컴퓨터'","학생테이블에서 학과가 컴퓨터인 사람의 학번, 이름, 학년을 검색하라.","학생테이블에 학과가 컴퓨터인 사람의 학번, 이름, 학년을 삽입하라.","학생테이블에서 학과가 컴퓨터인 사람의 학번, 이름, 학년을 검색하여 컴퓨터과테이블에 삽입하라.","컴퓨터과테이블에서 학과가 컴퓨터인 사람의 학번, 이름, 학년을 검색하여 학생테이블에 삽입하라.",③,"SELECT로 검색한 결과를 INSERT 대상을 지정한 테이블에 삽입하는 SQL입니다."
"릴레이션 R의 차수(Degree)가 3, 카디널리티(Cardinality)가 3이고, 릴레이션 S의 차수가 4, 카디널리티가 4일 때 두 릴레이션을 카티션 프로덕트(Cartesian Product)한 결과 릴레이션의 차수와 카디널리티는?","4, 4","7, 7","7, 12","12, 12",③,"차수: 3+4=7, 카디널리티: 3×4=12"
"다음 표와 같은 판매실적 테이블에서 서울지역에 한하여 판매액 내림차순으로 지점명과 판매액을 출력하고자 한다. 가장 적절한 SQL 구문은?  
테이블명: 판매실적  
도시       지점명      판매액  
서울     강남지점   330  
서울     강북지점   168  
광주     광주지점   197  
서울     강서지점   158  
서울     강동지점   197  
대전     대전지점   165","SELECT 지점명, 판매액 FROM 판매실적 WHERE 도시 = “서울” ORDER BY 판매액 DESC;","SELECT 지점명, 판매액 FROM 판매실적 ORDER BY 판매액 DESC;","SELECT 지점명, 판매액 FROM 판매실적 WHERE 도시 = “서울” ASC;","SELECT * FROM 판매실적 WHEN 도시 = “서울” ORDER BY 판매액 DESC;",①,"WHERE 도시='서울' 조건과 판매액 내림차순 검색이 포함되어야 합니다."
"트랜잭션들을 수행하는 도중 장애로 인해 손상된 데이터베이스를 손상되기 이전의 정상적인 상태로 복구시키는 작업은?","Recovery","Restart","Commit","Abort",①,"데이터베이스의 복구는 Recovery(회복) 연산입니다."
"다음 조건을 모두 만족하는 정규형은?  
ㆍ테이블 R에 속한 모든 도메인이 원자값만으로 구성되어 있다.  
ㆍ테이블 R에서 키가 아닌 모든 필드가 키에 대해 함수적으로 종속되며, 키의 부분집합이 결정자가 되는 부분종속이 존재하지 않는다.  
ㆍ테이블 R에 존재하는 모든 함수적 종속에서 결정자가 후보키이다.","BCNF","제1정규형","제2정규형","제3정규형",①,"BCNF(Boyce-Codd Normal Form)는 VI(결정자=후보키)까지 요구합니다."
"관계 데이터베이스의 정규화에 대한 설명으로 옳지 않은 것은?","정규화를 거치지 않으면 여러 가지 상이한 정보를 하나의 릴레이션으로 표현하여 그 릴레이션을 조작할 때 이상(Anomaly) 현상이 발생할 수 있다.","정규화의 목적은 각 릴레이션에 분산된 종속성을 하나의 릴레이션에 통합하는 것이다.","이상 현상은 데이터들 간에 존재하는 함수 종속이 하나의 원인이 될 수 있다.","정규화가 잘못되면 데이터의 불필요한 중복이 야기되어 릴레이션을 조작할 때 문제가 발생할 수 있다.",②,"정규화의 목적은 종속성을 분산하고 데이터 중복/이상을 제거하는 것입니다. 종속성의 통합이 아니라 분산/해소입니다."
"분산 데이터베이스의 투명성(Transparency)에 해당하지 않는 것은?","Location Transparency","Replication Transparency","Failure Transparency","Media Access Transparency",④,"Media Access Transparency는 분산 DB 투명성에 포함되지 않습니다."
"다음 질의에 대한 SQL문은?  
프로젝트번호(PNO) 1, 2, 3에서 일하는 사원의 주민등록번호(JUNO)를 검색하라. 단, 사원 테이블(WORKS)은 프로젝트번호(PNO), 주민등록번호(JUNO) 필드로 구성된다.","SELECT WORKS FROM JUNO WHERE PNO IN 1, 2, 3;","SELECT WORKS FROM JUNO WHERE PNO ON 1, 2, 3;","SELECT JUNO FROM WORKS WHERE PNO IN(1, 2, 3);","SELECT JUNO FROM WORKS WHERE PNO ON(1, 2, 3);",③,"SELECT JUNO FROM WORKS WHERE PNO IN(1, 2, 3);"
"다음 두 릴레이션에서 외래키로 사용된 것은? (단, 밑줄 친 속성은 기본키이다.)  
과목(과목번호, 과목명)  
수강(수강번호, 학번, 과목번호, 학기)","수강번호","과목번호","학번","과목명",②,"과목번호는 '과목'의 기본키이며, 수강 릴레이션에서 외래키로 참조됩니다."
"데이터베이스에서 병행제어의 목적으로 틀린 것은?","시스템 활용도 최대화","사용자에 대한 응답시간 최소화","데이터베이스 공유 최소화","데이터베이스 일관성 유지",③,"병행제어(Concurrency Control)는 데이터베이스 공유를 최소화(=덜 하려고) 하는 것이 아니라, 동시에 여러 사용자에게 적절히 허용(공유를 극대화)합니다."
"객체 지향 기법에서 하나 이상의 유사한 객체들을 묶어서 하나의 공통된 특성을 표현한 것은?","메시지","클래스","추상화","메소드",②,"클래스는 동일한 특성(속성, 행위)을 갖는 객체들의 집합(분류)입니다."
