문제,보기1,보기2,보기3,보기4,정답,해설
"사용자 인터페이스(UI) 중 명령과 출력이 텍스트 형태로만 이루어지는 인터페이스를 무엇이라 하는가?","NUI","GUI","CLI","OUI",③,"명령과 출력이 텍스트 형태로만 이루어지는 인터페이스를 CLI(Command Line Interface)라고 합니다.
ㆍNUI(Natural User Interface) : 사용자의 말이나 행동으로 기기를 조작하는 인터페이스
ㆍGUI(Graphical User Interface) : 아이콘이나 메뉴를 마우스로 선택하여 작업을 수행하는 그래픽 환경의 인터페이스
ㆍOUI(Organic User Interface) : 모든 사물과 사용자 간의 상호작용을 위한 인터페이스"
"XP(eXtreme Programming)에 대한 설명으로 옳지 않은 것은?","릴리즈 기간을 짧게 반복하여 고객의 요구 변화에 빠르게 대응한다.","코드들은 하나의 작업이 마무리될 때마다 지속적으로 통합한다.","테스트가 지속적으로 진행될 수 있도록 테스트 자동화 도구를 사용한다.","개발 책임자가 모든 책임을 가지므로 팀원들은 책임 없이 자유로운 개발이 가능하다.",④,"XP는 다른 사람과 함께 프로그래밍을 수행함으로써 개발에 대한 책임을 공동으로 나눠 갖는 환경을 조성합니다."
"자료 흐름도(Data Flow Diagram)의 구성 요소로 옳은 것은?","process, data flow, data store, comment","process, data flow, data store, terminator","data flow, data store, terminator, data dictionary","process, data store, terminator, mini-spec",②,"자료 흐름도(DFD)의 구성 요소에는 프로세스(Process), 자료 흐름(Data Flow), 자료 저장소(Data Store), 단말(Terminator)이 있습니다."
"분산 시스템에서의 미들웨어(Middleware)와 관련한 설명으로 틀린 것은?","분산 시스템에서 다양한 부분을 관리하고 통신하며 데이터를 교환하게 해주는 소프트웨어로 볼 수 있다.","위치 투명성을 제공한다(Location Transparency).","분산 시스템의 여러 컴포넌트가 요구하는 재사용 가능한 서비스의 구현을 제공한다.","애플리케이션과 사용자 사이에서만 분산 서비스를 제공한다.",④,"애플리케이션과 사용자 사이뿐만 아니라 클라이언트와 서버, 운영체제와 응용 프로그램과 같이 두 시스템 사이에서 다양한 서비스를 제공하는 소프트웨어를 미들웨어(Middleware)라고 합니다."
"디자인 패턴 사용의 장·단점에 대한 설명으로 거리가 먼 것은?","소프트웨어 구조 파악이 용이하다.","객체지향 설계 및 구현의 생산성을 높이는데 적합하다.","재사용을 위한 개발 시간이 단축된다.","절차형 언어와 함께 이용될 때 효율이 극대화된다.",④,"디자인 패턴에는 다양한 인터페이스와 객체들을 활용하는 방법들이 제시되어 있기 때문에 절차형 언어보다는 객체지향 언어와 함께 이용될 때 효율이 극대화됩니다."
"UML 확장 모델에서 스테레오 타입 객체를 표현할 때 사용하는 기호로 맞는 것은?","<< >>","(( ))","{{ }}","[[ ]]",①,"UML에서 표현하는 기본 기능 외에 추가적인 기능을 표현하는 스테레오 타입은 길러멧(Guillemet, << >>) 겹화살괄호 사이에 기능을 기술합니다."
"소프트웨어 설계 시 구축된 플랫폼의 성능 특성 분석에 사용되는 측정 항목이 아닌 것은?","응답 시간(Response Time)","서버 튜닝(Server Tuning)","가용성(Availability)","사용률(Utilization)",②,"서버 튜닝은 서버의 성능을 개선하는 것으로 구축된 플랫폼의 성능 특성 분석에 사용되는 측정 항목이 될 수 없습니다."
"사용자의 요구사항을 정확히 파악하기 위해 실제 개발될 소프트웨어에 대한 견본품을 만들어 최종 결과물을 예측하는 모형은?","나선형 모형","애자일 모형","프로토타입 모형","폭포수 모형",③,"문제에 제시된 내용은 프로토타입(Prototype) 모형의 개념입니다."
"객체지향 분석 방법론 중 Coad-Yourdon 방법에 해당하는 것은?","E-R 다이어그램을 사용하여 객체의 행위를 데이터 모델링하는데 초점을 둔 방법이다.","객체동적기능 모델로 나누어 수행하는 방법이다.","미시적 개발 프로세스와 거시적 개발 프로세스를 모두 사용하는 방법이다.","Use-Case를 강조하여 사용하는 방법이다.",①,"보기에 제시된 내용 중 Coad-Yourdon 방법에 해당하는 것은 ①번입니다.
②번은 럼바우 방법, ③번은 부치 방법, ④번은 Jacobson 방법입니다."
"객체지향 기법에서 동일한 형의 특성을 갖는 객체들을 모아 구성한 것으로 클래스들 사이의 'is instance of' 관계로 설명되는 연관성을 나타내는 용어는?","일반화","분류화","연관화","집단화",②,"동일한 형의 특성을 갖는 객체들을 모아 구성하는 것을 분류화(Classification)라고 하며 ‘is instance of’라고도 표현합니다."
"UML 모델에서 한 사물의 명세가 바뀌면 다른 사물에 영향을 주며, 일반적으로 한 클래스가 다른 클래스를 오퍼레이션의 매개 변수로 사용하는 경우에 나타나는 관계는?","Association","Dependency","Realization","Generalization",②,"일반적으로 한 클래스가 다른 클래스를 오퍼레이션의 매개 변수로 사용하는 경우를 나타내는 관계를 의존(Dependency) 관계라고 합니다."
"Rayleigh-Norden 곡선의 노력 분포도를 이용한 프로젝트 비용 산정 기법은?","Putnam 모형","델파이 모형","COCOMO 모형","기능점수 모형",①,"문제에서 설명하는 내용은 Putnam 모형입니다. ▪ 델파이 모형 : 전문가 감정 기법의 주관적인 편견을 보완하기 위해 많은 전문가의 의견을 종합하여 산정하는 기법 ▪ COCOMO 모형 : 보헴(Boehm)이 제안한 것으로 원시 프로그램의 규모인 원시 코드 라인 수(LOC)에 의한 비용 산정 기법 ▪ 기능점수 모형 : 알브레히트(Albrecht)가 제안한 것으로, 소프트웨어의 기능을 증대시키는 요인별로 가중치를 부여하고, 요인별 가중치를 합산하여 총 기능 점수를 산출하며, 총 기능 점수와 영향도를 이용하여 기능 수(FP)를 구한 후 이를 이용해서 비용을 산정하는 기법"
"애자일(Agile) 프로세스 모델에 대한 설명으로 틀린 것은?","변화에 대한 대응보다는 자세한 계획을 중심으로 소프트웨어를 개발한다.","프로세스와 도구 중심이 아닌 개개인과의 상호소통을 통해 의견을 수렴한다.","협상과 계약보다는 고객과의 협력을 중시한다.","문서 중심이 아닌 실행 가능한 소프트웨어를 중시한다.",①,"애자일(Agile)은 계획을 따르기 보다는 변화에 반응하는 것에 더 가치를 둡니다."
