문제,보기1,보기2,보기3,보기4,정답,해설
"소프트웨어 개발에서 정보보안 요소에 해당하지 않는 설명은?","기밀성 인가된 사용자에 대해서만 자원 접근이 가능하다.","무결성 인가된 사용자에 대해서만 자원 수정이 가능하며 전송 중인 정보는 수정되지 않는다.","가용성 인가된 사용자는 가지고 있는 권한 범위 내에서 언제든 자원 접근이 가능하다.","휘발성 인가된 사용자가 수행한 데이터는 처리 완료 즉시 폐기되어야 한다.",④,"정보보안의 대 요소에는 기밀성무결성가용성이 있습니다 3, , ."
"문제에서 설명하는 COCOMO Model의 소프트웨어 개발 유형은?","Embeded","Organic","Semi-Detached","Semi-Embeded",②,"문제에서 설명하는 모델의 소프트웨어 개발 유형은 조직형입니다 (Organic Mode). ㆍ내장형(Embedded Mode): 최대형 규모의 트랜잭션 처리 시스템이나 운영체제 등의 30만 라인(300KDSI) 이상의 소프트웨어를 개발하는 유형 ㆍ반분리형(Semi-Detached Mode): 조직형과 내장형의 중간형으로, 트랜잭션 처리 시스템이나 운영체제, 데이터베이스 관리 시스템 등의 30만 라인(300KDSI) 이하의 소프트웨어를 개발하는 유형"
"소프트웨어 비용 산정에 대한 설명으로 옳지 않은 것은?","소프트웨어의 규모, 인력 등의 요소를 기반으로 개발에 필요한 비용을 예측하는 것이다.","소프트웨어 비용 산정 기법에는 상향식, 하향식, 혼합식 기법이 있다.","소프트웨어 비용을 높게 산정할 경우 예산 낭비와 일의 효율성 저하를 초래할 수 있다.","소프트웨어 비용 결정 요소에는 프로젝트 요소, 자원 요소, 생산성 요소가 있다.",②,"소프트웨어 비용 산정 기법에는 하향식 비용 산정 기법과 상향식 비용 산정 기법이 있습니다. 혼합식 비용 산정 기법은 존재하지 않습니다."
"취약점 관리를 위한 응용 프로그램의 보안 설정과 가장 거리가 먼 것은?","서버 관리실 출입 통제","실행 프로세스 권한 설정","운영체제의 접근 제한","운영체제의 정보 수집 제한",①,"서버 관리실 출입 통제는 물리적 보안에 포함되는 보안 조치입니다."
"Python을 기반으로 컴포넌트의 재사용과 플러그인화를 강조하여 신속한 개발이 가능하도록 지원하는 프레임워크는?","Spring","Node.js","Django","Codeigniter",③,"문제에 제시된 내용은 Django의 개념입니다. ㆍSpring : JAVA를 기반으로 만들어진 프레임워크로 전자정부 표준 프레임워크의 기반 기술로 사용되고 있음 ㆍNode.js : JavaScript를 기반으로 만들어진 프레임워크로 비동기 입출력 처리와 이벤트 위주의 높은 처리 성능을 갖고 있어 실시간으로 입출력이 빈번한 애플리케이션에 적합함 ㆍCodeigniter : PHP를 기반으로 만들어진 프레임워크로 인터페이스가 간편하며 서버 자원을 적게 사용함"
"LOC 기법에 의하여 예측된 총 라인수가 36,000라인, 개발에 참여할 프로그래머가 6명, 프로그래머들의 평균 생산성이 월간 300라인일 때 개발에 소요되는 기간은?","5개월","10개월","15개월","20개월",④,"프로그래머들의 평균 생산성이 월간 300라인이라면 프로그래머 1명의 월간 생산성은 1,800입니다. 총 라인수가 36,000이므로 36,000 / 1,800 = 20, 즉 개발 기간은 20개월입니다."
"무선 랜에서 데이터 전송 시 매체가 비어있음을 확인한 뒤 충돌을 피하기 위해 일정한 시간을 기다린 후 데이터를 전송하는 방법은?","VLAN","STP","L2AN","CSMA/CA",④,"문제에 제시된 내용은 CSMA/CA(Carrier Sense Multiple Access/Collision Avoidance)에 대한 설명입니다."
"물리적 위협으로 인한 문제에 해당하지 않는 것은?","화재, 홍수 등 천재지변으로 인한 위협","하드웨어 파손, 고장으로 인한 장애","방화, 테러로 인한 하드웨어와 기록장치를 물리적으로 파괴하는 행위","방화벽 설정의 잘못된 조작으로 인한 네트워크, 서버 보안 위협",④,"방화벽 설정의 잘못된 조작으로 인한 네트워크, 서버 보안 위협은 기술적 위협으로 인해 문제에 해당합니다."
"소프트웨어 개발 모델 중 나선형 모델의 4가지 주요 활동이 순서대로 나열된 것은?","Ⓐ계획 수립-Ⓑ고객 평가-Ⓓ위험 분석-Ⓒ개발 및 검증","Ⓐ계획 수립-Ⓓ위험 분석-Ⓒ개발 및 검증-Ⓑ고객 평가","Ⓐ계획 수립-Ⓑ고객 평가-Ⓒ개발 및 검증-Ⓓ위험 분석","Ⓐ계획 수립-Ⓒ개발 및 검증-Ⓑ고객 평가-Ⓓ위험 분석",②,"나선형 모델은 계획, 위험 분석, 개발 및 검증, 고객 평가 과정을 반복하며 수행하는 개발방법론입니다."
"다음이 설명하는 IT 기술은?
ㆍ컨테이너 응용프로그램의 배포를 자동화하는 오픈소스 엔진이다.
ㆍ소프트웨어 컨테이너 안에 응용 프로그램들을 배치시키는 일을 자동화해 주는 오픈 소스 프로젝트이자 소프트웨어로 볼 수 있다.","Stack Guard","Docker","Cipher Container","Scytale",②,"지문의 설명에 해당하는 것은 도커(Docker)입니다. ㆍ스택 가드(Stack Guard): 주소가 저장되는 스택에서 발생하는 보안 약점을 막는 기술 중 하나로, 잘못된 복귀 주소의 호출을 막음 ㆍ스키테일(Scytale): 원통형 막대기를 사용하는 고대 그리스의 암호화 기법"
