문제,보기1,보기2,보기3,보기4,정답,해설
"참조 무결성을 유지하기 위하여 DROP문에서 부모 테이블의 항목 값을 삭제할 경우 자동적으로 자식 테이블의 해당 레코드를 삭제하기 위한 옵션은?","CLUSTER","CASCADE","SET-NULL","RESTRICTED",②,"문제에 제시된 내용은 CASCADE에 대한 설명입니다. ㆍRESTRICTED 다른 개체가 제거할 요소를 참조중일 때는 제거를 취소함"
"뷰(View)에 대한 설명으로 옳지 않은 것은?","뷰는 CREATE문을 사용하여 정의한다.","뷰는 데이터의 논리적 독립성을 제공한다.","뷰를 제거할 때에는 DROP문을 사용한다.","뷰는 저장장치 내에 물리적으로 존재한다.",④,"뷰(View)는 저장장치 내에 물리적으로 존재하지 않는 가상 테이블입니다."
"DML에 해당하는 SQL명령으로만 나열된 것은?","DELETE, UPDATE, CREATE, ALTER","INSERT, DELETE, UPDATE, DROP","SELECT, INSERT, DELETE, UPDATE","SELECT, INSERT, DELETE, ALTER",③,"데이터 조작어의 4가지 명령어는 DML(SELECT, INSERT, DELETE, UPDATE)입니다."
"다음과 같이 위쪽 릴레이션을 아래쪽 릴레이션으로 정규화를 하였을 때 어떤 정규화 작업을 한 것인가? 국가  도시  대한민국  서울·부산  미국  워싱턴·뉴욕  중국  베이징  ↓  국가  도시  대한민국  서울  대한민국  부산  미국  워싱턴  미국  뉴욕  중국  베이징","제1정규형","제2정규형","제3정규형","제4정규형",①,"테이블의 도시속성이 다중값을 갖고 있었으나 정규화를 수행한 후에는 한 개의 값, 즉 원자값(Atomic Value)만을 가진 것으로 보아 제1정규형 작업을 수행한 것임을 알 수 있습니다."
"관계 데이터 모델의 무결성 제약 중 기본키 값의 속성 값이 널(Null) 값이 아닌 원자 값을 갖는 성질은?","개체 무결성","참조 무결성","도메인 무결성","튜플의 유일성",①,"관계 데이터 모델의 무결성 제약 중 기본키 값의 속성 값이 널 값이 아닌 원자 값을 갖는 성질을 개체 무결성(Entity Integrity)이라고 합니다. ㆍ도메인 무결성(Domain Integrity, 영역 무결성) 주어진 속성 값이 정의된 도메인에 속한 값이어야 한다는 규정 ㆍ참조 무결성(Referential Integrity) 외래키 값은 Null이나 참조 릴레이션의 기본키 값과 동일해야 하고 릴레이션은 참조할 수 없는 외래키 값을 가질 수 없다는 규정"
"데이터 모델에 표시해야 할 요소로 거리가 먼 것은?","논리적 데이터 구조","출력 구조","연산","제약 조건",②,"데이터 모델에 표시해야 할 요소에는 구조(Structure), 연산(Operation), 제약 조건(Constraint)이 있습니다."
"DBA가 사용자 PARK에게 테이블 STUDENT의 데이터를 갱신할 수 있는 시스템 권한을 부여하고자 하는 SQL문을 작성하고자 한다. 다음에 주어진 SQL문의 빈칸을 알맞게 채운 것은? GRANT      STUDENT TO PARK;","INSERT, INTO","ALTER, TO","UPDATE, ON","REPLACE, IN",③,"문의 기본 형식은 권한리스트 ON 개체 TO 사용자 이지만, 부여받을 권한을 다른 사용자에게 다시 부여할 수 있는 권한에 대한 언급이 없으므로 ‘[WITH GRANT OPTION]’을 생략하고 작성하면 됩니다. GRANT UPDATE ON STUDENT TO PARK; ❶ 갱신 권한을 부여한다(UPDATE). ❶ 테이블에 대한 권한을 부여한다 <STUDENT>. ❷ 라는 사용자에게 부여한다 ‘PARK’. ❸"
"데이터베이스에 영향을 주는 생성, 읽기, 갱신, 삭제 연산으로 프로세스와 테이블 간에 매트릭스를 만들어서 트랜잭션을 분석하는 것은?","CASE 분석","일치 분석","CRUD 분석","연관성 분석",③,"데이터베이스 테이블에 변화를 주는 트랜잭션의 CRUD 연산에 대해 매트릭스를 작성하여 분석하는 것을 CRUD 분석이라고 합니다."
"다음에서 설명하는 스키마는? 데이터베이스 전체를 정의한 것으로 데이터개체, 관계, 제약조건, 접근권한, 무결성 규칙 등을 명세한 것","개념 스키마","내부 스키마","외부 스키마","내용 스키마",①,"데이터 개체, 관계, 제약조건, 접근권한, 무결성 규칙 등을 명세한 것은 개념 스키마입니다. ㆍ외부 스키마: 사용자나 응용 프로그래머가 각 개인의 입장에서 필요로 하는 데이터베이스의 논리적 구조를 정의한 것 ㆍ내부 스키마: 물리적 저장장치의 입장에서 본 데이터베이스 구조로서 실제로 데이터베이스에 저장될 레코드의 형식을 정의하고 저장 데이터 항목의 표현 방법, 내부 레코드의 물리적 순서 등을 나타냄"
"조건을 만족하는 릴레이션의 수평적 부분집합으로 구성하며, 연산자의 기호는 그리스 문자 시그마(σ)를 사용하는 관계대수 연산은?","Select","Project","Join","Division",①,"조건을 만족하는 릴레이션의 수평적 부분집합으로 구성하며, 연산자의 기호는 그리스 문자 시그마(σ)를 사용하는 관계대수 연산은 Select입니다. ㆍProject: 주어진 릴레이션에서 속성 리스트(Attribute List)에 제시된 속성 값만을 추출하여 새로운 릴레이션을 만드는 연산 ㆍJoin: 공통 속성을 중심으로 두 개의 릴레이션을 하나로 합쳐서 새로운 릴레이션을 만드는 연산 ㆍDivision: 인 두 개의 릴레이션 R(X), S(Y)가 있을 때, R의 속성이 S의 속성 값을 모두 가진 튜플에서 S가 가진 속성을 제외한 속성만을 구하는 연산"
