문제,보기1,보기2,보기3,보기4,정답,해설
"반정규화(Denormalization) 유형 중 중복 테이블을 추가하는 방법에 해당하지 않는 것은?","빌드 테이블의 추가","집계 테이블의 추가","진행 테이블의 추가","특정 부분만을 포함하는 테이블 추가",①,"반정규화에서 중복 테이블을 추가하는 방법에는 집계 테이블의 추가, 진행 테이블의 추가, 특정 부분만을 포함하는 테이블의 추가가 있습니다."
"외계인 코드(Alien Code)에 대한 설명으로 옳은 것은?","프로그램의 로직이 복잡하여 이해하기 어려운 프로그램을 의미한다.","아주 오래되거나 참고문서 또는 개발자가 없어 유지보수 작업이 어려운 프로그램을 의미한다.","오류가 없어 디버깅 과정이 필요 없는 프로그램을 의미한다.","사용자가 직접 작성한 프로그램을 의미한다.",②,"아주 오래되거나 참고문서 또는 개발자가 없어 유지보수 작업이 어려운 프로그램을 외계인 코드라고 합니다 (Alien Code)."
"디지털 저작권 관리(DRM)의 기술 요소가 아닌 것은?","크랙 방지 기술","정책 관리 기술","암호화 기술","방화벽 기술",④,"방화벽 기술은 디지털 저작권 관리 기술이 아니고 기업이나 조직 내부의 네트워크와 인터넷 간에 전송되는 정보를 선별하여 수용, 거부, 수정하는 기능을 가진 침입 차단 시스템입니다."
"다음 트리의 차수(Degree)와 단말 노드(Terminal Node)의 수는?","차수 : 4, 단말 노드 : 4","차수 : 2, 단말 노드 : 4","차수 : 4, 단말 노드 : 8","차수 : 2, 단말 노드 : 8",②,"트리의 차수는 가장 차수가 많은 노드의 차수를 의미합니다. 문제에 주어진 트리에서 각 노드의 차수는 A=2, B=1, C=2, E=2이므로 A, C, E 노드의 차수인 2가 트리의 차수입니다. 단말 노드는 자식이 하나도 없는 노드를 의미합니다. 제시된 그림에서 자식이 없는 단말 노드는 D, F, G, H로 총 4개입니다."
"물리데이터 저장소의 파티션 설계에서 파티션 유형으로 옳지 않은 것은?","범위 분할(Range Partitioning)","해시 분할(Hash Partitioning)","조합 분할(Composite Partitioning)","유닛 분할(Unit Partitioning)",④,"파티션의 종류에는 범위 분할, 해시 분할, 조합 분할, 목록 분할, 라운드 로빈 분할이 있습니다."
"형상 관리 도구의 주요 기능으로 거리가 먼 것은?","정규화(Normalization)","체크인(Check-in)","체크아웃(Check-out)","커밋(commit)",①,"정규화는 테이블의 속성들이 상호 종속적인 관계를 갖는 특성을 이용하여 테이블을 무손실 분해하는 과정으로 형상 관리 도구와는 관계가 없습니다."
"패키지 소프트웨어의 일반적인 제품 품질 요구사항 및 테스트를 위한 국제 표준은?","ISO/IEC 2196","IEEE 19554","ISO/IEC 12119","ISO/IEC 14959",③,"소프트웨어 품질과 관련된 표준에는 ISO/IEC 9126, ISO/IEC 12119, ISO/IEC 14598, ISO/IEC 25010이 있습니다."
"블랙박스 테스트 기법으로 거리가 먼 것은?","기초 경로 검사","동치 클래스 분해","경계값 분석","원인 결과 그래프",①,"기초 경로 검사는 화이트박스 테스트 기법에 해당합니다."
"인터페이스 구현 검증 도구가 아닌 것은?","ESB","xUnit","STAF","NTAF",①,"ESB는 애플리케이션 간 연계, 데이터 변환, 웹 서비스 지원 등 표준 기반의 인터페이스를 제공하는 솔루션입니다."
"다음 Postfix 연산식에 대한 연산결과로 옳은 것은? 3 4 * 5 6 * ＋","35","42","77","360",②,"후위 표기 방식 연산식은 연산자가 해당 피연산자 두 개의 오른쪽에 놓인 것을 말합니다. 피연산자 개와 연산자를 묶은 후 연산자를 피연산자 사이에 옮겨 놓고 계산하면 됩니다. ( (3 4 *) (5 6 *) + ) → ( (3 * 4 ) + (5 * 6 ) ) = 12 + 30 = 42"
