문제,보기1,보기2,보기3,보기4,정답,해설
"Java에서 자료형과 크기의 연결로 틀린 것은?","byte - 1Byte","char - 1Byte","int - 4Byte","double - 8Byte",②,"Java의 char은 언어에서는 1Byte이지만 Java에서는 2Byte의 크기를 갖습니다."
"UNIX에 대한 설명으로 옳지 않은 것은?","상당 부분 C 언어를 사용하여 작성되었으며 이식성이 우수하다.","사용자는 하나 이상의 작업을 백그라운드에서 수행할 수 있어 여러 개의 작업을 병행 처리할 수 있다.","쉘은 프로세스 관리, 기억장치 관리, 입출력 관리 등의 기능을 수행한다.","두 사람 이상의 사용자가 동시에 시스템을 사용할 수 있어 정보와 유틸리티들을 공유하는 편리한 작업 환경을 제공한다.",③,"프로세스 관리, 기억장치 관리, 입출력 관리 등의 기능을 수행하는 것은 커널입니다. 쉘은 사용자의 명령어를 인식하여 프로그램을 호출하고 명령을 수행하는 명령어 해석기입니다."
"IPv6에 대한 설명으로 틀린 것은?","128비트의 주소 공간을 제공한다.","인증 및 보안 기능을 포함하고 있다.","패킷 크기가 64Kbyte로 고정되어 있다.","확장 헤더를 통해 네트워크 기능 확장이 용이하다.",③,"IPv6의 패킷 크기는 제한이 없습니다. 패킷 크기가 64Kbyte로 고정되어 있는 것은 IPv4입니다."
"스크립트 언어가 아닌 것은?","PHP","Cobol","Basic","Python",②,"Cobol은 절차적 프로그래밍 언어에 해당합니다."
"OSI 7계층 중 네트워크 계층에 대한 설명으로 틀린 것은?","패킷을 발신지로부터 최종 목적지까지 전달하는 책임을 진다.","한 노드로부터 다른 노드로 프레임을 전송하는 책임을 진다.","패킷에 발신지와 목적지의 논리 주소를 추가한다.","라우터 또는 교환기는 패킷 전달을 위해 경로를 지정하거나 교환 기능을 제공한다.",②,"②번은 데이터 링크 계층의 특징입니다. 네트워크 계층의 프로토콜 데이터 단위(PDU)는 패킷(Packet)입니다."
"C 언어 프로그램이 실행되었을 때의 결과는?
#include <stdio.h>
main() {
    int sum = 0;
    for (int i = 1; i < 20; i *= 2)
        sum += i;
    printf(\"%d\", sum);
}", "31", "32", "100", "190", ①,"정수형 변수 sum을 선언하고 0으로 초기화한다. 반복 변수 i가 1에서 시작하여 2씩 곱해지면서 20보다 작은 동안 sum += i;를 반복 수행한다. sum의 값을 출력한다. 반복문 실행에 따른 변수의 변화는 다음과 같다.
반복횟수   i   sum
0          1     1
1          2     3
2          4     7
3          8    15
4         16    31
반복실행 안됨
결과 31"
"HRN 방식으로 스케줄링 할 경우, 입력된 작업이 다음과 같을 때 처리되는 작업 순서로 옳은 것은?
작업  대기 시간  서비스(실행)시간
A      5          20
B     40          20
C     15          45
D     20           2","A → B → C → D","A → C → B → D","D → B → C → A","D → A → B → C",③,"HRN 기법의 우선순위 공식은 ‘대기 시간 + 서비스 시간 / 서비스 시간’입니다.
A : (5+20)/20=1.25
B : (40+20)/20=3
C : (15+45)/45=1.33
D : (20+2)/2=11
계산된 숫자가 클수록 우선순위가 높습니다. 작업 순서는 D → B → C → A 입니다."
"C, Java 언어 등에서 사용되는 예약어로 반복문 안에서 이후의 문장을 실행하지 않고 제어를 반복문의 처음으로 옮기는 명령어는 무엇인가?","break","continue","next","release",②,"반복문에서 이후의 문장을 실행하지 않고 제어를 반복문의 처음으로 옮기는 명령어(예약어)는 continue입니다."
"3개의 페이지 프레임을 갖는 시스템에서 페이지 참조 순서가 1, 2, 1, 0, 4, 1, 3 일 경우 FIFO 알고리즘에 의한 페이지 교체의 경우 프레임의 최종 상태는?","1, 2, 0","2, 4, 3","1, 4, 2","4, 1, 3",④,"3개의 페이지를 수용할 수 있는 주기억장치이므로 아래와 같이 3개의 페이지 프레임으로 표현할 수 있습니다. 
참조 페이지: 1 2 1 0 4 1 3
페이지 프레임:
1
2
1
1
4
4
4
2
2
2
1
1
0
0
0
3
각 참조 페이지가 페이지 테이블에 없을 경우 페이지 결함(부재)이 발생됩니다.
FIFO(선입선출) 기법은 가장 먼저 들어와 있었던 페이지를 교체하는 기법이므로, 참조 페이지 4를 참조할 때에는 1을 제거한 후 4를 가져오게 됩니다. 최종 프레임의 상태는 4, 1, 3입니다."
