문제,보기1,보기2,보기3,보기4,정답,해설
"요구공학(Requirements Engineering)에 대한 설명으로 옳지 않은 것은?","무엇을 개발해야 하는지 요구사항을 정의하고, 분석 및 관리하는 프로세스를 연구하는 학문이다.","사용자 요구사항이 더욱 복잡해지고 잦은 변경이 발생하자 이를 적절하게 관리하기 위해 등장하였다.","요구사항 개발의 한 요소이다.","품질 개선과 프로젝트 실패의 최소화를 목적으로 한다.",③,"요구공학은 요구사항 개발보다 더 큰 범주에 해당하므로 요구사항 개발이 요구공학의 한 요소가 됩니다."
"XP(eXtreme Programming)에 대한 설명으로 옳지 않은 것은?","릴리즈 기간을 짧게 반복하여 고객의 요구 변화에 빠르게 대응한다.","코드들은 하나의 작업이 마무리될 때마다 지속적으로 통합한다.","테스트가 지속적으로 진행될 수 있도록 테스트 자동화 도구를 사용한다.","개발 책임자가 모든 책임을 가지므로 팀원들은 책임 없이 자유로운 개발이 가능하다.",④,"XP는 다른 사람과 함께 프로그래밍을 수행함으로써 개발에 대한 책임을 공동으로 나눠 갖는 환경을 조성합니다."
"UML에서 활용되는 다이어그램의 이름과 설명의 연결이 올바르지 않은 것은?","클래스 다이어그램 : 시퀀스 다이어그램과 같이 동작에 참여하는 객체들이 주고받는 메시지를 표현하는데, 메시지뿐만 아니라 객체들 간의 연관까지 표현한다.","배치 다이어그램 : 결과물, 프로세스, 컴포넌트 등 물리적 요소들의 위치를 표현한다.","유스케이스 다이어그램 : 사용자의 요구를 분석하는 것으로, 기능 모델링 작업에 사용한다.","활동 다이어그램 : 시스템이 어떤 기능을 수행하는지, 객체의 처리 로직이나 조건에 따른 처리의 흐름을 순서에 따라 표현한다.",①,"클래스 다이어그램은 클래스와 클래스가 가지는 속성, 클래스 사이의 관계를 표현하는 다이어그램입니다. ①번은 커뮤니케이션 다이어그램에 대한 설명입니다."
"다음 설명에 해당하는 도표는?
시스템의 기능을 여러 개의 고유 모듈들로 분할하여 이들 간의 인터페이스를 계층 구조로 표현한 것으로, 가시적 도표(Visual Table of Contents), 총체적 도표(Overview Diagram), 세부적 도표(Detail Diagram)가 있다.","Flow Chart","Burn-down Chart","Visual Diagram","HIPO Chart",④,"문제의 지문은 HIPO 차트에 대한 설명입니다."
"불필요한 메모리의 낭비를 최소화하기 위해 여러 프로세스가 동시에 참조할 수는 없지만 어디서든 참조할 수 있는 객체를 생성하는 디자인 패턴은?","싱글톤 패턴(Singleton)","옵서버 패턴(Observer)","프로토타입 패턴(Prototype)","상태 패턴(State)",①,"여러 프로세스가 동시에 참조할 수는 없지만 어디서든 참조할 수 있는 객체를 생성하는 디자인 패턴은 싱글톤 패턴(Singleton)입니다. ▪ 옵서버 패턴(Observer) : 한 객체의 상태가 변화하면 객체에 상속되어 있는 다른 객체들에게 변화된 상태를 전달하는 패턴 ▪ 프로토타입 패턴(Prototype) : 원본 객체를 복제하는 방법으로 객체를 생성하는 패턴 ▪ 상태 패턴(State) : 객체의 상태에 따라 동일한 동작을 다르게 처리해야 할 때 사용하는 패턴"
"객체지향 기법에서 객체가 메시지를 받아 실행해야 할 객체의 구체적인 연산을 정의한 것은?","Entity","Method","Instance","Class",②,"객체지향 기법에서 객체가 메시지를 받아 실행해야 할 객체의 구체적인 연산을 정의한 것을 메소드(Method)라 합니다. ▪ 개체(Entity) : 사람, 자동차, 컴퓨터, 고양이 등과 같이 우리 주위에서 사용되는 물질적이거나 개념적인 것을 의미함 ▪ 인스턴스(Instance) : 클래스에 속한 각각의 객체를 인스턴스라 하며, 클래스로부터 새로운 객체를 생성하는 것을 인스턴스화(Instantiation)라 함 ▪ 클래스(Class) : 공통된 속성과 연산(행위)을 갖는 객체의 집합으로, 객체의 일반적인 타입(Type)을 의미함"
"바람직한 소프트웨어 설계 지침이 아닌 것은?","결합도를 최소화하고 응집도를 최대화한다.","복잡도와 중복성을 줄이고 일관성을 유지시킨다.","하나의 입구와 하나의 출구를 갖도록 해야 한다.","모듈의 크기를 가능한 작게 구성하여 병행성 수준을 높여야 한다.",④,"모듈 크기는 시스템의 전반적인 기능과 구조를 이해하기 쉬운 크기로 분해해야 합니다."
"객체지향 설계 원칙에 대한 설명 중 틀린 것은?","OCP : 기존의 코드를 변경하지 않고 기능을 추가할 수 있도록 설계해야 한다는 원칙","LSP : 자식 클래스는 최소한 자신의 부모 클래스에서 가능한 행위는 수행할 수 있어야 한다는 설계 원칙","DIP : 각 객체들 간의 의존 관계가 성립될 때, 추상성이 낮은 클래스보다 추상성이 높은 클래스와 의존 관계를 맺어야 한다는 원칙","ISP : 객체는 단 하나의 책임만 가져야 한다는 원칙",④,"인터페이스 분리 원칙(ISP)은 자신이 사용하지 않는 인터페이스와 의존 관계를 맺거나 영향을 받지 않아야 한다는 원칙입니다. ④번은 단일 책임 원칙(SRP)에 대한 설명입니다."
"객체지향 분석 방법론 중 미시적(Micro) 개발 프로세스와 거시적(Macro) 개발 프로세스를 모두 사용하는 분석 방법으로, 클래스와 객체들을 분석 및 식별하고 클래스의 속성과 연산을 정의하는 것은?","Coad와 Yourdon 방법","Booch 방법","Jacobson 방법","Wirfs-Brocks 방법",②,"미시적 개발 프로세스와 거시적 개발 프로세스를 모두 사용하는 객체지향 분석 방법은 Booch 방법입니다. ▪ Coad와 Yourdon 방법 : E-R 다이어그램을 사용하여 객체의 행위를 모델링하며, 객체 식별, 구조 식별, 주제 정의, 속성과 인스턴스 연결 정의, 연산과 메시지 연결 정의 등의 과정으로 구성하는 기법 ▪ Jacobson 방법 : Use Case를 강조하여 사용하는 분석 방법입니다. ▪ Wirfs-Brock 방법 : 분석과 설계 간의 구분이 없고 고객 명세서를 평가해서 설계 작업까지 연속적으로 수행하는 기법입니다."
"HIPO Chart에 대한 설명으로 틀린 것은?","HIPO 차트 종류에는 가시적 도표, 총체적 도표, 세부적 도표가 있다.","충분한 사전 지식과 학습이 없으면 이해하기 어렵다.","기능과 자료의 의존 관계를 동시에 표현할 수 있다.","하향식 소프트웨어 개발을 위한 문서화 도구이다.",②,"HIPO(Hierarchy Input Process Output)는 시스템의 분석 및 설계나 문서화할 때 사용되는 기법으로, 기호나 도표 등을 사용하므로 보기 쉽고 이해하기도 쉽다는 특징이 있습니다."
