문제,보기1,보기2,보기3,보기4,정답,해설
"개발에 필요한 환경 구축과 관련하여 하드웨어 환경과 관련이 없는 것은?","Eclipse","Oracle DB","WAS","웹 서버",①,"이클립스는 통합 개발 환경(IDE) 도구로, 하드웨어 환경과 관련이 없습니다."
"UNIX에 대한 설명으로 옳지 않은 것은?","상당 부분 C 언어를 사용하여 작성되었으며 이식성이 우수하다.","사용자는 하나 이상의 작업을 백그라운드에서 수행할 수 있어 여러 개의 작업을 병행 처리할 수 있다.","쉘은 프로세스 관리, 기억장치 관리, 입출력 관리 등의 기능을 수행한다.","두 사람 이상의 사용자가 동시에 시스템을 사용할 수 있어 정보와 유틸리티들을 공유하는 편리한 작업 환경을 제공한다.",③,"쉘은 사용자의 명령어를 인식하여 프로그램을 호출하고 명령을 수행하는 명령어 해석기입니다. 프로세스 관리, 기억장치 관리, 입출력 관리 등의 기능을 수행하는 것은 커널입니다."
"C 또는 Java의 printf 명령어에서 키보드의 Tab키와 같이 커서를 일정 간격 띄어주는데 사용하는 제어문자는?","\\r","\\t","\\b","\\n",②,"① \\r : 커서를 현재 줄의 처음으로 이동하는 제어문자 ③ \\b : 커서를 왼쪽으로 한 칸 이동하는 제어문자 ④ \\n : 커서를 다음 줄의 처음으로 이동하는 제어문자"
"다음 내용이 설명하는 결합도는? 한 모듈이 다른 모듈의 상세한 처리 절차를 알고 있어 이를 통제하는 경우나 처리 기능이 두 모듈에 분리되어 설계된 경우에 발생하며 권리 전도 현상이 발생할 수 있다.","제어 결합도","스탬프 결합도","외부 결합도","내용 결합도",①,"문제의 지문은 제어 결합도에 대한 설명입니다. ㆍ스탬프 결합도 모듈 간의 인터페이스로 배열이나 레코드 등의 자료 구조가 전달될 때의 결합도 ㆍ외부 결합도 : 어떤 모듈에서 선언한 데이터(변수)를 외부의 다른 모듈에서 참조할 때의 결합도 ㆍ내용 결합도 : 한 모듈이 다른 모듈의 내부 기능 및 그 내부 자료를 직접 참조하거나 수정할 때의 결합도"
"OSI 참조 모델의 계층별 프로토콜 데이터 단위(PDU)의 연결이 틀린 것은?","Physical Layer - Byte","Data Link Layer - Frame","Network Layer - Packet","Application Layer - Message",①,"물리 계층(Physical Layer)의 프로토콜 데이터 단위(PDU)는 비트(bit)입니다."
"JAVA에서 힙(Heap)에 남아있으나 변수가 가지고 있던 참조값을 잃거나 변수 자체가 없어짐으로써 더 이상 사용되지 않는 객체를 제거해주는 역할을 하는 모듈은?","Heap Collector","Garbage Collector","Memory Collector","Variable Collector",②,"실제로는 사용되지 않으면서 가용 공간 리스트에 반환되지 않는 메모리 공간인 가비지(Garbage, 쓰레기)를 강제로 해제하여 사용할 수 있도록 하는 메모리 관리 모듈을 가비지 콜렉터(Garbage Collector)라고 합니다."
"다음 중 연산자의 종류가 다른 하나는?","%","/","-","++",④,"①②③번은 산술 연산자, ④번은 단항 연산자입니다."
"운영체제의 기능으로 틀린 것은?","개발에 필요한 여러 도구를 제공한다.","자원 보호 기능을 제공한다.","자원의 스케줄링 기능을 제공한다.","사용자와 시스템 간의 편리한 인터페이스를 제공한다.",①,"개발에 필요한 여러 도구를 제공하는 소프트웨어에는 라이브러리, 프레임워크, API, IDE 등이 있습니다."
"다음 Java 프로그램이 실행되었을 때의 결과는? public class Test { public static void main(String[] args) { int x = 7, y = 0; while(x-- > 0) { if (x%3 == 0) continue; y++; } System.out.print(y); } }","0","4","5","7",②,"정수형 변수 x, y를 선언하고 각각 7, 0으로 초기화한다. ❶ x가 0보다 큰 동안 ❷번을 반복 수행한다. x--는 후치 감소 연산자이므로 x>0 비교 후 x의 값이 1 감소한다. x를 3으로 나눈 나머지가 0이면 ❸번을 수행하고 아니면 ❹번으로 이동한다. ❹ y = y + 1; 값을 1씩 증가시킨다. 반복문 실행 후 y의 값을 출력한다. 결과 4"
"다음 C 언어 프로그램이 실행되었을 때의 결과는? #include <stdio.h> main() { char* s = \"Sinagong\"; for (int i = 5; i > 0; i--) printf(\"%c\", *(s + i)); }","inago","ogani","sinagong","gnoganis",②,"문자형 포인터 변수 s를 선언하고 문자열 \"Sinagong\"이 저장된 곳의 주소를 저장한다. 반복 변수 i가 5에서 시작하여 1씩 감소하면서 0보다 큰 동안 *(s + i)를 출력한다. 결과 ogani"
