문제,보기1,보기2,보기3,보기4,정답,해설
"소프트웨어 개발에서 정보보안 요소에 해당하지 않는 설명은?","기밀성 인가된 사용자에 대해서만 자원 접근이 가능하다.","무결성 인가된 사용자에 대해서만 자원 수정이 가능하며 전송 중인 정보는 수정되지 않는다.","가용성 인가된 사용자는 가지고 있는 권한 범위 내에서 언제든 자원 접근이 가능하다.","휘발성 인가된 사용자가 수행한 데이터는 처리 완료 즉시 폐기되어야 한다.",④,"정보보안의 대 요소에는 기밀성, 무결성, 가용성이 있습니다."
"시스템이 몇 대가 되어도 하나의 시스템에서 인증에 성공하면 다른 시스템에 대한 접근 권한도 얻는 시스템을 의미하는 것은?","SOS","SBO","SSO","SOA",③,"하나의 시스템에서 인증에 성공하면 다른 시스템에 대한 접근 권한도 얻는 시스템을 SSO(Single Sign On)라고 합니다."
"COCOMO 모형에 대한 설명으로 옳지 않은 것은?","원시 프로그램의 규모인 LOC에 의한 비용 산정 기법이다.","30만 라인 이상의 소프트웨어에서는 내장형(Embedded) 방식을 이용하여 비용을 산정한다.","중간형은 개발 공정별로 보다 자세하고 정확하게 노력을 산출하여 비용을 산정하는 모형이다.","사무 처리용/업무용 등의 소규모 소프트웨어의 비용 산정에는 조직형 산정 모델을 사용하는 것이 적합하다.",③,"개발 공정별로 보다 자세하고 정확하게 노력을 산출하여 비용을 산정하는 모형은 발전형(Detailed) 기법입니다."
"다음 Java 코드에서 밑줄로 표시된 부분에는 어떤 보안 약점이 존재하는가?
public static void main(String[] args) {
    int a = 5;
    a = func(a);
}
static int func(int a) {
    return a <= 5 ? func(a) : 3;
}","종료되지 않는 반복문 또는 재귀함수","널 포인터 역참조","하드코드된 암호화 키 사용","초기화되지 않은 변수 사용",①,"번에서 정수형 변수 a가 선언되고 5로 초기화 된 후 a=func(a);에서 func(a) 메소드가 호출됩니다. func()가 처음 수행될 때 a=5이므로 return a<=5 ? func(a) : 3;에서 다시 func(a)가 호출되고, 이때 a의 값이 변화할 수 있는 코드가 함수 내에 존재하지 않으므로 끊임없이 자기자신을 호출하는 무한 반복(Loop)이 발생하게 됩니다."
"SAN(Storage Area Network)에 대한 설명으로 틀린 것은?","서버와 저장 장치를 연결하는 전용 네트워크를 별도로 구성하는 방식이다.","파이버 채널(FC) 스위치를 이용하여 네트워크를 구성한다.","서버들이 저장장치 및 파일을 공유할 수 있다.","초기 설치 시 소요되는 비용을 절약할 수 있다.",④,"SAN은 높은 트랜잭션 처리에 효과적이나 기존 시스템의 경우 장비의 업그레이드가 필요하고, 초기 설치 시에는 별도의 네트워크를 구축해야 하므로 비용이 많이 듭니다."
"해시(Hash)에 대한 설명으로 옳지 않은 것은?","해시 알고리즘으로 변환된 값이나 키를 해시값 또는 해시키라고 부른다.","고정된 길이의 입력 데이터나 메시지를 임의의 길이의 값이나 키로 변환한다.","데이터의 암호화, 무결성 검증을 위해 사용될 뿐만 아니라 정보보호의 다양한 분야에서 활용된다.","대표적인 해시 알고리즘에는 SHA 시리즈, MD 시리즈 등이 있다.",②,"해시는 임의의 길이의 입력 데이터나 메시지를 고정된 길이의 값이나 키로 변환하는 것을 의미합니다."
"다음 중 소유 기반 인증(Something you have) 방법에 해당하지 않는 것은?","i-PIN","OTP","스마트 카드","신분증",①,"i-PIN은 지식 기반 인증(Something you know)에 해당합니다."
"기존 무선 랜의 한계 극복을 위해 등장하였으며, 대규모 디바이스의 네트워크 생성에 최적화되어 차세대 이동통신, 홈네트워킹, 공공 안전 등의 특수목적에 사용되는 새로운 방식의 네트워크 기술을 의미하는 것은?","Mesh Network","Virtual Private Network","Local Area Network","Software Defined Perimeter",①,"대규모 디바이스의 네트워크 생성에 최적화되어 차세대 이동통신, 홈네트워킹, 공공 안전 등의 특수목적에 사용되는 새로운 방식의 네트워크 기술을 매시 네트워크(Mesh Network)라 합니다."
"다음 중 개인키 암호화 기법으로 옳지 않은 것은?","DES","ARIA","SEED","RSA",④,"RSA(Rivest Shamir Adleman)는 공개키 암호화 기법에 속합니다."
"수동적인 네트워크 침해 공격의 하나로, 네트워크의 중간에서 남의 패킷 정보를 도청하는 해킹 유형은?","스니핑(Sniffing)","스미싱(Smishing)","피싱(Phishing)","백도어(Back Door)",①,"문제에 제시된 내용은 스니핑(Sniffing)의 개념입니다."
"다음 괄호에 공통으로 들어갈 용어는 무엇인가?
(     )는 일련의 데이터를 정의하고 설명해 주는 데이터로, 컴퓨터에서는 데이터 사전의 내용, 스키마 등을 의미한다. (     )는 여러 용도로 사용되나, 주로 빠르게 검색하거나 내용을 간략하고 체계적으로 하기 위해 많이 사용된다.","View","Broad Data","Big Data","Meta Data",④,"일련의 데이터를 정의하고 설명해 주는 데이터를 메타 데이터(Meta Data)라고 합니다."
"다음에서 설명하는 IT 기술은?
ㆍ네트워크를 제어부/데이터 전달부로 분리하여 네트워크 관리자가 보다 효율적으로 네트워크를 제어/관리할 수 있는 기술
ㆍ기존의 라우터, 스위치 등과 같이 하드웨어에 의존하는 네트워크 체계에서, 안정성, 속도, 보안 등을 소프트웨어로 제어/관리하기 위해 개발됨
ㆍ네트워크 장비의 펌웨어 업그레이드를 통해 사용자의 직접적인 데이터 전송 경로 관리가 가능하고, 기존 네트워크에는 영향을 주지 않으면서 특정 서비스의 전송 경로 수정을 통하여 인터넷상에서 발생하는 문제를 처리할 수 있음","SDN(Software Defined Networking)","NFS(Network File System)","Network Mapper","AOE Network",①,"문제의 지문은 소프트웨어 정의 네트워킹(SDN; Software Defined Networking)에 대한 설명입니다."
"정보 보안을 위한 접근통제 정책 종류에 해당하지 않는 것은?","임의적 접근통제","데이터 전환 접근통제","강제적 접근통제","역할 기반 접근통제",②,"접근통제 기술에는 임의 접근통제(DAC), 강제 접근통제(MAC), 역할 기반 접근통제(RBAC)가 있습니다."
"다음 중 병행수행으로 발생할 수 있는 문제점이 아닌 것은?","갱신 분실(Lost Update)","완료 의존성(Committed Dependency)","모순성(Inconsistency)","연쇄 복귀(Cascading Rollback)",②,"병행제어 기법에 의한 제어 없이 트랜잭션들이 데이터베이스에 동시에 접근하도록 허용할 경우 갱신 분실, 비완료 의존성, 모순성, 연쇄 복귀 등의 문제점이 발생합니다."
"다음 빈 칸에 알맞은 기술은?
(    )은(는) 필요한 모든 것에 RFID 태그를 부착하여 수집한 정보를 무선으로 수집할 수 있도록 구성한 네트워크이다.","GIS","SON","USN","UWB",③,"필요한 모든 것에 RFID 태그를 부착하여 수집한 정보를 무선으로 수집할 수 있도록 구성한 네트워크는 USN(Ubiquitous Sensor Network, 유비쿼터스 센서 네트워크)입니다."
"소프트웨어 재공학(Reengineering)에 대한 설명으로 틀린 것은?","기존 시스템을 이용하여 보다 나은 시스템을 구축하는 것이다.","유지보수 비용의 최소화를 위해 유지보수성과 품질을 향상시키는 것을 목적으로 한다.","소프트웨어 위기를 해결하는 방법 중 하나로 꼽힌다.","소프트웨어의 수명이 연장되지만 개발 비용이 증가한다.",④,"소프트웨어 재공학은 기존의 소프트웨어를 재이용하기 때문에 개발 비용을 절약할 수 있습니다."
"다음 중 양방향 암호화 방식이 아닌 것은?","DES","SEED","RSA","HASH",④,"HASH는 단방향 암호화 방식을 사용합니다."
