문제,보기1,보기2,보기3,보기4,정답,해설
"데이터 모델의 구성 요소가 아닌 것은?","속성(Attribute)","연산(Operation)","관계(Relationship)","개체(Entity)",②,"ㆍ데이터 모델의 구성 요소에는 개체, 속성, 관계가 있습니다. ㆍ연산은 데이터 모델에 표시할 요소입니다."
"시스템 카탈로그에 대한 설명으로 옳지 않은 것은?","사용자 객체에 대한 정의나 명세에 관한 정보를 유지 관리하는 시스템 테이블이다.","일반 이용자도 SQL을 이용하여 내용을 검색하거나 수정할 수 있다.","DBMS가 스스로 생성하고 유지한다.","데이터 디렉터리, 번역기, 질의 최적화기 등으로 구성된다.",②,"시스템 카탈로그는 일반 이용자도 SQL을 통해 검색할 수는 있지만, 삽입·수정·삭제 작업은 허용되지 않습니다."
"관계대수에 대한 설명으로 옳지 않은 것은?","원하는 릴레이션을 정의하는 방법을 제공하며 비절차적 언어이다.","릴레이션 조작을 위한 연산의 집합으로 피연산자와 결과가 모두 릴레이션이다.","일반 집합 연산과 순수 관계 연산으로 구분된다.","질의에 대한 해를 구하기 위해 수행해야 할 연산의 순서를 명시한다.",①,"관계대수는 원하는 릴레이션을 정의하는 방법을 제공하는 것은 맞지만 절차적인 특징을 가지고 있습니다. 원하는 정보가 무엇이라는 것만 정의하는 비절차적인 특성을 가지는 것은 관계해석입니다."
"DML에 해당하는 것으로만 나열된 것은?","SELECT, UPDATE, INSERT","SELECT, UPDATE, GRANT","SELECT, INSERT, GRANT","SELECT, UPDATE, INSERT, GRANT",①,"SELECT, UPDATE, INSERT는 DML이고, GRANT는 DCL입니다."
"개체관계 모델(ER 모델)에 대한 설명으로 옳지 않은 것은?","오너-멤버(Owner-Member) 관계라고도 한다.","개체 타입과 이들 간의 관계 타입을 기본 요소로 이용하여 현실세계를 개념적으로 표현한다.","E-R 다이어그램에서 개체 타입은 사각형으로 나타낸다.","E-R 다이어그램에서 속성은 타원으로 나타낸다.",①,"오너-멤버(Owner-Member) 관계라고도 불리는 데이터 모델은 논리적 데이터 모델 중 하나인 네트워크(망형) 데이터 모델입니다."
"릴레이션에 R1에 속한 애트리뷰트의 조합인 외래키를 변경하려면 이를 참조하고 있는 R2의 릴레이션의 기본키도 변경해야 하는데 이를 무엇이라고 하는가?","정보 무결성","고유 무결성","키 제약성","참조 무결성",④,"무결성의 종류에는 개체 무결성, 도메인 무결성, 참조 무결성, 사용자 정의 무결성 등이 있습니다. ㆍ개체 무결성(실체 무결성, Entity Integrity) : 기본 테이블의 기본키를 구성하는 어떤 속성도 Null 값이나 중복값을 가질 수 없다는 규정 ㆍ도메인 무결성(영역 무결성, Domain Integrity) : 주어진 속성 값이 정의된 도메인에 속한 값이어야 한다는 규정 ㆍ참조 무결성(Referential Integrity) : 외래키 값은 Null이나 참조 릴레이션의 기본키 값과 동일해야 한다는 규정 ㆍ사용자 정의 무결성(User-Defined Integrity) : 속성 값들이 사용자가 정의한 제약조건에 만족해야 한다는 규정"
"아래 그림에서 트리의 차수(degree)를 구하면?","2","3","4","5",②,"트리에서 차수(Degree)는 가장 차수가 많은 노드의 차수입니다. 문제에 주어진 트리(Tree)에서 각 노드의 차수는 A=2, B=3, C=2, E=2이므로 B 노드의 차수인 3이 이 트리의 차수입니다."
"정규화 과정 중 1NF에서 2NF가 되기 위한 조건은?","1NF를 만족하고 모든 도메인이 원자 값이어야 한다.","1NF를 만족하고 키가 아닌 모든 애트리뷰트들이 기본키에 이행적으로 함수 종속되지 않아야 한다.","1NF를 만족하고 다치 종속이 제거되어야 한다.","1NF를 만족하고 키가 아닌 모든 속성이 기본키에 완전 함수적 종속되어야 한다.",④,"ㆍ1NF에서 2NF가 되기 해서는 1NF를 만족하고 키가 아닌 모든 속성이 기본키에 완전 함수적 종속되어야 합니다. ㆍ①번은 비정규 릴레이션이 1NF가 되기 위한 조건, ②번은 2NF에서 3NF가 되기 위한 조건, ③번은 3NF에서 BCNF가 되기 위한 조건입니다."
"병행제어 기법 중 로킹에 대한 설명으로 옳지 않은 것은?","로킹의 대상이 되는 객체의 크기를 로킹 단위라고 한다.","데이터베이스, 파일, 레코드 등은 로킹 단위가 될 수 있다.","로킹의 단위가 작아지면 로킹 오버헤드가 증가한다.","로킹의 단위가 커지면 데이터베이스 공유도가 증가한다.",④,"로킹 단위가 커지면 데이터베이스 병행성 수준이 낮아지므로 공유도가 감소합니다."
"다음 중 파티션에 대한 설명으로 틀린 것은?","파티셔닝으로 인해 쿼리 성능은 향상되지만, 백업 및 복구 속도는 느려진다.","파티셔닝된 테이블은 물리적으로 별도의 세그먼트에 저장된다.","파티션은 하나의 테이블을 작은 논리적 단위로 나눈 것이다.","파티셔닝을 수행하면 데이터 가용성이 향상된다.",①,"파티션별로 백업 및 복구 작업을 수행하므로 백업 및 복구 속도가 파티셔닝을 수행하기 전에 비해 빨라집니다."
"다음 SQL문에서 괄호 안에 들어갈 내용으로 옳은 것은? UPDATE MEMBER (     ) GRADE = ‘GOLD’ WHERE POINT >= 1000;","SET","FROM","INTO","IN",①,"갱신문의 기본 형식은 UPDATE~ SET~ WHERE입니다."
