문제,보기1,보기2,보기3,보기4,정답,해설
"TCP/IP 기반 네트워크에서 동작하는 발행-구독 기반의 메시징 프로토콜로 최근 IoT 환경에서 자주 사용되고 있는 프로토콜은?","MLFQ","MQTT","Zigbee","MTSP",②,"MQTT(Message Queuing Telemetry Transport)는 발행-구독 기반의 메시징 프로토콜로, IoT 환경에서 주로 사용되는 프로토콜입니다."
"악성코드의 유형 중 다른 컴퓨터의 취약점을 이용하여 스스로 전파하거나 메일로 전파되며 스스로를 증식하는 것은?","Worm","Rogue Ware","Adware","Reflection Attack",①,"컴퓨터에 감염되어 자기 자신을 복사, 다른 컴퓨터로 확산, 네트워크 감염을 유발하는 것은 웜(Worm)입니다."
"시스템 내의 정보는 오직 인가된 사용자만 수정할 수 있는 보안 요소는?","기밀성","부인방지","가용성","무결성",④,"정보보안의 요소 중 무결성(Integrity)은 오직 인가된 사용자만 정보 또는 자원을 수정할 수 있도록 보장하는 성질입니다."
"취약점 관리를 위한 응용 프로그램의 보안 설정과 가장 거리가 먼 것은?","서버 관리실 출입 통제","실행 프로세스 권한 설정","운영체제의 접근 제한","운영체제의 정보 수집 제한",①,"서버 관리실 출입 통제는 물리적 보안에 해당하며, 응용 프로그램의 보안 설정과는 거리가 멉니다."
"COCOMO model 중 기관 내부에서 개발된 중소 규모의 소프트웨어로 일괄 자료 처리나 과학기술 계산용/비즈니스 자료 처리용으로 5만 라인 이하의 소프트웨어를 개발하는 유형은?","Embeded","Organic","Semi-detached","Semi-embeded",②,"COCOMO의 소프트웨어 유형: 조직형(Organic), 반분리형(Semi-detached), 내장형(Embedded)으로 구분. 중소 규모, 내장형·처리 시 조직형."
"소프트웨어 생명 주기 모델 중 V모델과 관련한 설명으로 틀린 것은?","요구 분석 및 설계 단계를 거치지 않으며 항상 통합 테스트를 중심으로 V형태를 이룬다.","Perry에 의해 제안되었으며 세부적인 테스트 과정으로 구성되어 신뢰도 높은 시스템을 개발하는데 효과적이다.","개발 작업과 검증 작업 사이의 관계를 명확히 드러내 놓은 폭포수 모델의 변형이라고 볼 수 있다.","폭포수 모델이 산출물 중심이라면 V모델은 작업과 결과의 검증에 초점을 둔다.",①,"V모형은 요구 분석 및 설계 단계를 반드시 거치며, 테스트와 검증을 함께 강조한 모델입니다. 설계·분석 없이 통합테스트만 중시하는 모델이 아닙니다."
"다음이 설명하는 용어로 옳은 것은?
ㆍ오픈 소스를 기반으로 한 분산 컴퓨팅 플랫폼이다.
ㆍ일반 PC급 컴퓨터들로 가상화된 대형 스토리지를 형성한다.
ㆍ다양한 소스를 통해 생성된 빅데이터를 효율적으로 저장하고 처리한다.","하둡(Hadoop)","비컨(Beacon)","포스퀘어(Foursquare)","맴리스터(Memristor)",①,"하둡(Hadoop)은 오픈 소스 분산 스토리지·빅데이터 처리 플랫폼입니다."
"SQL Injection 공격과 관련한 설명으로 틀린 것은?","SQL Injection은 임의로 작성한 SQL 구문을 애플리케이션에 삽입하는 공격 방식이다.","취약점이 발생하는 곳은 주로 웹 애플리케이션과 데이터베이스가 연동되는 부분이다.","DBMS의 종류와 관계없이 SQL Injection의 공격 기법은 모두 동일하다.","로그인과 같이 웹에서 사용자의 입력 값을 받아 데이터베이스 문으로 데이터를 요청하는 경우 SQL Injection을 수행할 수 있다.",③,"DBMS의 종류에 따라 SQL 구문 및 Injection 방법에는 차이가 있으므로, 모두 동일하지는 않습니다."
"소프트웨어 생명 주기 모형 중 Spiral Model에 대한 설명으로 틀린 것은?","비교적 대규모 시스템에 적합하다.","개발 순서는 계획 및 정의, 위험 분석, 공학적 개발, 고객 평가 순으로 진행된다.","소프트웨어를 개발하면서 발생할 수 있는 위험을 관리하고 최소화하는 것을 목적으로 한다.","계획, 설계, 개발, 평가의 개발 주기가 한 번만 수행된다.",④,"Spiral(나선형) 모델은 여러 번 반복(다단계 루프) 수행이 특징입니다."
"다음 내용이 설명하는 것은?
ㆍ네트워크상에 광채널 스위치의 이점인 고속 전송과 장거리 연결 및 멀티 프로토콜 기능을 활용
ㆍ각기 다른 운영체제를 가진 여러 기종들이 네트워크상에서 동일 저장장치의 데이터를 공유하게 함으로써 여러 개의 저장장치나 백업 장비를 단일화시킨 시스템","SAN","MBR","NAC","NIC",①,"SAN(Storage Area Network)은 여러 서버/플랫폼간 고속 저장장치 공유 네트워크입니다."
