문제,보기1,보기2,보기3,보기4,정답,해설
"공학적으로 잘된 소프트웨어(Well Engineered Software)의 설명 중 틀린 것은?","소프트웨어는 유지보수가 용이해야 한다.","소프트웨어는 신뢰성이 높아야 한다.","소프트웨어는 사용자 수준에 무관하게 일관된 인터페이스를 제공해야 한다.","소프트웨어는 충분한 테스팅을 거쳐야 한다.",③,"사용자 수준과 무관하게 일관된 인터페이스를 제공해야 한다는 조건은 필요조건이 아닙니다. 공학적으로 잘된 소프트웨어의 요건은 신뢰성, 유지보수성, 효율성, 충분한 테스팅 등입니다."
"소프트웨어 품질 측정을 위해 개발자 관점에서 고려해야 할 항목으로 거리가 먼 것은?","정확성","무결성","사용성","간결성",④,"소프트웨어 품질 특성에서 개발자의 관점으로 고려해야 할 주요 항목은 정확성, 무결성, 효율성, 신뢰성 등이며, 간결성은 특별히 독립적인 품질 특성이라고 하기는 어렵습니다."
"소프트웨어 공학에서 워크스루(Walkthrough)에 대한 설명으로 틀린 것은?","사용사례를 확장하여 명세하거나 설계 다이어그램, 원시 코드, 테스트 케이스 등에 적용할 수 있다.","복잡한 알고리즘 또는 반복, 실시간 동작, 병행 처리와 같은 기능이나 동작을 이해하려고 할 때 유용하다.","인스펙션(Inspection)과 동일한 의미를 가진다.","단순한 테스트 케이스를 이용하여 프로덕트를 수작업으로 수행해 보는 것이다.",③,"워크스루(Walkthrough)는 개발자가 작성한 산출물의 오류를 발견하기 위한 검토 기법 중 하나로, 주로 코드, 설계도, 명세서, 산출물 등을 대상으로 팀원 및 이해관계자가 참여하여 진행합니다. 인스펙션(Inspection)과는 목적, 진행 방식, 참가자 등에서 차이가 있습니다. 두 용어는 동일한 의미가 아닙니다."
"순서가 A, B, C, D로 정해진 입력 자료를 스택에 입력하였다가 출력할 때 가능한 출력 순서의 결과가 아닌 것은?","A, B, C, D","D, A, B, C","A, B, D, C","B, C, D, A",②,"스택은 후입선출(LIFO) 구조라 B, C, D, A는 가능하지만 D, A, B, C 같이 D가 먼저 나오고 A가 그 다음에 나올 순서는 스택으로 만들 수 없습니다."
"다음 트리의 차수(Degree)와 단말 노드(Terminal Node)의 수는?","차수: 4, 단말 노드: 4","차수: 2, 단말 노드: 4","차수: 4, 단말 노드: 8","차수: 2, 단말 노드: 8",②,"트리에서 차수(Degree)는 가장 차수가 많은 노드의 차수입니다. 그림에서 가장 많은 자식 노드가 2개이므로 차수는 2입니다. 자식이 하나도 없는 노드를 단말 노드라고 하며, 그림상에 단말노드는 4개입니다."
"다음 Postfix로 표현된 연산식의 연산 결과로 옳은 것은? 3 4 * 5 6 * +","35","42","81","360",②,"후위 표기식(Postfix)에서 3 4 * 5 6 * +는 (3*4)+(5*6)=12+30=42입니다."
"테스트와 디버그의 목적으로 옳은 것은?","테스트는 오류를 찾는 작업이고 디버깅은 오류를 수정하는 작업이다.","테스트는 오류를 수정하는 작업이고 디버깅은 오류를 찾는 작업이다.","둘 다 소프트웨어의 오류를 찾는 작업으로 오류 수정은 하지 않는다.","둘 다 소프트웨어 오류의 발견/수정과 무관하다.",①,"테스트(Test)는 소프트웨어의 오류를 찾는 작업이고, 디버깅(Debugging)은 발견된 오류를 수정하는 작업입니다."
"DRM(Digital Rights Management)과 관련한 설명으로 틀린 것은?","디지털 콘텐츠와 디바이스의 사용을 제한하기 위해 하드웨어 제조업자, 저작권자, 출판업자 등이 사용할 수 있는 접근 제어 기술을 의미한다.","디지털 미디어의 생명 주기 동안 발생하는 사용 권한 관리, 과금, 유통 단계를 관리하는 기술로도 볼 수 있다.","클리어링 하우스(Clearing House)는 사용자에게 콘텐츠 라이센스를 발급하고 권한을 부여해주는 시스템을 말한다.","원본을 안전하게 유통하기 위한 전자적 보안은 고려하지 않기 때문에 불법 유통과 복제의 방지는 불가능하다.",④,"DRM은 콘텐츠의 불법 유통과 복제를 방지할 수 있도록 보안 컨테이너 등 전자적 보안을 적용하므로 ④번 설명은 틀렸습니다."
"소프트웨어 형상 관리에서 관리 항목에 포함되지 않는 것은?","프로젝트 요구 분석서","소스 코드","운영 및 설치 지침서","프로젝트 개발 비용",④,"형상 관리 대상에는 프로젝트 개발 비용이 아니라 요구 분석서, 소스 코드, 설치 지침서 등 문서 및 코딩 산출물이 포함됩니다."
"다음과 같이 레코드가 구성되어 있을 때 이진 검색 방법으로 14를 찾을 경우 비교되는 횟수는? (데이터: 1~15까지 정렬된 데이터)", "2", "3", "4", "5", ②,"이진 검색은 log2(n)회를 기준으로 하며, 15개 데이터에서 14를 찾으려면 1) 중간값 8 → 2) 오른쪽 중간값 12 → 3) 오른쪽 끝값 14에서 찾으므로 비교 횟수는 3번입니다."
