문제,보기1,보기2,보기3,보기4,정답,해설
"소프트웨어 공학에서 워크스루(Walkthrough)에 대한 설명으로 틀린 것은?","사용사례를 확장하여 명세하거나 설계 다이어그램, 원시 코드, 테스트 케이스 등에 적용할 수 있다.","복잡한 알고리즘 또는 반복, 실시간 동작, 병행 처리와 같은 기능이나 동작을 이해하려고 할 때 유용하다.","인스펙션(Inspection)과 동일한 의미를 가진다.","단순한 테스트 케이스를 이용하여 프로덕트를 수작업으로 수행해 보는 것이다.",③,"워크스루(Walkthrough)는 개발자가 작성한 산출물의 오류를 발견하기 위한 검토 기법 중 하나로, 주로 코드, 설계도, 명세서, 산출물 등을 대상으로 팀원 및 이해관계자가 참여하여 진행합니다. 인스펙션(Inspection)과는 목적, 진행 방식, 참가자 등에서 차이가 있습니다. 두 용어는 동일한 의미가 아닙니다."
"XP(eXtreme Programing)의 5가지 가치로 거리가 먼 것은?","용기","의사소통","정형 분석","피드백",③,"XP(eXtreme Programming)의 5가지 핵심 가치는 용기(Courage), 의사소통(Communication), 피드백(Feedback), 존중(Respect), 단순성(Simplicity)입니다. 정형 분석(Formal Analysis)은 XP의 5대 가치에 포함되지 않습니다."
"메시지 지향 미들웨어(Message-Oriented Middleware, MOM)에 대한 설명으로 틀린 것은?","느리고 안정적인 응답보다는 즉각적인 응답이 필요한 온라인 업무에 적합하다.","독립적인 애플리케이션을 하나의 통합된 시스템으로 묶기 위한 역할을 한다.","송신측과 수신측의 연결 시 메시지 큐를 활용하는 방법이 있다.","상이한 애플리케이션 간 통신을 비동기 방식으로 지원한다.",①,"메시지 지향 미들웨어(MOM)는 느린 응답보다는 안정적 메시지 전달(즉각반응보다는 안정성)에 중점을 두는 미들웨어이며, 비동기 처리를 지원합니다. 즉각적인 응답이 필요한 온라인 업무보다는 대량, 지연 메시지의 안정적 처리가 중요한 업무에 적합합니다."
"자료 흐름도(DFD)를 작성하는데 지침이 될 수 없는 항목은?","자료 흐름은 처리가 거쳐 변환될 때마다 새로운 이름을 부여한다.","어떤 처리가 출력 자료를 산출하기 위해서는 반드시 입력 자료가 발생해야 한다.","자료 저장소에 입력 화살표가 있으면 반드시 출력 화살표도 표시되어야 한다.","상위 단계의 처리와 하위 자료 흐름도의 자료 흐름은 서로 일치되어야 한다.",③,"자료 저장소는 입력(저장)과 출력(인출)이 독립적으로 발생할 수 있습니다. 입력(저장)만 되고 출력(인출)이 아직 일어나지 않을 수도 있으며, 자료 저장소에 입력이 있는 경우 반드시 출력이 있어야 하는 것은 아닙니다. 따라서 ③번 지침은 잘못되었습니다."
"설계 기법 중 하향식 설계 방법과 상향식 설계 방법에 대한 비교 설명으로 가장 옳지 않은 것은?","하향식 설계에서는 통합 검사 시 인터페이스가 이미 정의되어 있어 통합이 간단하다.","하향식 설계에서 레벨이 낮은 데이터 구조의 세부 사항은 설계 초기 단계에서 필요하다.","상향식 설계는 최하위 수준에서 각각의 모듈들을 설계하고 이러한 모듈이 완성되면 이들을 결합하여 검사한다.","상향식 설계에서는 인터페이스가 이미 성립되어 있지 않더라도 기능 추가가 쉽다.",②,"하향식 설계에서는 설계 초기에는 상위 모듈의 구조와 인터페이스, 전반적인 아키텍처에 집중하고, 레벨이 낮은 데이터 구조의 세부 사항은 설계 후반에 작성합니다. 설계 초기 단계에서 낮은 레벨의 세부사항까지 필요하지 않습니다."
"소프트웨어 공학에서 모델링(Modeling)과 관련한 설명으로 틀린 것은?","개발팀이 응용 문제를 이해하는 데 도움을 줄 수 있다.","유지보수 단계에서만 모델링 기법을 활용한다.","개발될 시스템에 대하여 여러 분야의 엔지니어들이 공통된 개념을 공유하는 데 도움을 준다.","절차적인 프로그램을 위한 자료 흐름도는 프로세스 위주의 모델링 방법이다.",②,"모델링 기법은 소프트웨어 개발 생명주기의 전 단계(분석, 설계, 구현, 유지보수)에서 다양하게 활용합니다. 유지보수 단계에서만 쓰이는 것이 아닙니다."
"UML 모델에서 한 객체가 다른 객체에게 오퍼레이션을 수행하도록 지정하는 의미적 관계로 옳은 것은?","Dependency","Realization","Generalization","Association",①,"Dependency(의존)는 한 객체가 다른 객체의 변화에 영향을 받는다는 의미의 관계로, 예컨대 한 클래스가 다른 클래스를 매개변수나 지역변수로 사용하는 의존 관계 등이 대표적입니다. Realization(실현)은 인터페이스와 구현클래스의 관계, Generalization(일반화)은 상속 관계, Association(연관)은 구조적 연결관계입니다."
"분산 시스템을 위한 마스터-슬레이브(Master-Slave) 아키텍처에 대한 설명으로 틀린 것은?","일반적으로 실시간 시스템에서 사용된다.","마스터 프로세스는 일반적으로 연산, 통신, 조정을 책임진다.","슬레이브 프로세스는 데이터 수집 기능을 수행할 수 없다.","마스터 프로세스는 슬레이브 프로세스들을 제어할 수 있다.",③,"슬레이브 프로세스도 데이터 수집, 연산, 장치 제어 등 주요한 기능을 수행할 수 있습니다. (수집 불가란 설명은 틀림)"
"객체지향 분석 방법론 중 Coad-Yourdon 방법에 해당하는 것은?","E-R 다이어그램을 사용하여 객체의 행위를 데이터 모델링하는데 초점을 둔 방법이다.","객체·동적·기능 모델로 나누어 수행하는 방법이다.","미시적 개발 프로세스와 거시적 개발 프로세스를 모두 사용하는 방법이다.","Use-Case를 강조하여 사용하는 방법이다.",①,"Coad-Yourdon 방법은 E-R 다이어그램 중심의 객체 행위 모델링을 강조합니다. 럼바우(Rumbaugh)는 객체/동적/기능 모델, 부치(Booch)는 미시적/거시적 프로세스, Jacobson은 유스케이스(Use Case)를 강조합니다."
"자료 흐름도(DFD)의 구성 요소에 포함되지 않는 것은?","Process","Data Flow","Data Store","Data Dictionary",④,"자료 흐름도(DFD)의 4대 구성 요소는 Process, Data Flow, Data Store, Terminator(External Entity)입니다. Data Dictionary(자료사전)는 별도의 도구입니다."
