문제,보기1,보기2,보기3,보기4,정답,해설
"CREATE TABLE문에 포함되지 않는 기능은?","속성 타입 변경","속성의 NOT NULL 여부 지정","기본키를 구성하는 속성 지정","제약조건의 정의(CHECK)",①,"CREATE TABLE 문은 새로운 테이블의 생성, 속성 타입(NOT NULL), 기본키 지정, CHECK 조건 등 테이블의 기본 생성·제약 정의는 가능하지만, 이미 만들어진 테이블의 속성 타입을 변경하는 것은 ALTER TABLE 문을 사용해야 합니다."
"테이블 두 개를 조인하여 뷰 V_1을 정의하고, V_1을 이용하여 뷰 V_2를 정의하였다. 다음 명령 수행 후 결과로 옳은 것은?  
DROP VIEW V_1 CASCADE;","V_1만 삭제된다.","V_2만 삭제된다.","V_1과 V_2 모두 삭제된다.","V_1과 V_2 모두 삭제되지 않는다.",③,"CASCADE 옵션으로 V_1을 삭제할 경우, V_1을 참조(의존)하는 V_2도 함께 삭제됩니다."
"관계해석에서 모든 것에 대하여의 의미를 나타내는 논리 기호는?","∃","∈","∀","⊂",③,"전칭 한정자(∀, for all)는 '모든 것에 대하여'의 의미를 나타냅니다. ∃는 존재 한정자(there exists), ∈는 속한다, ⊂는 부분집합을 뜻합니다."
"다음 SQL문의 실행 결과로 생성되는 튜플 수는?  
SELECT 급여 FROM 사원;  
사원ID 사원명 급여 부서ID  
101 박철수 30000 1  
102 한나라 35000 2  
103 김감동 40000 3  
104 이구수 35000 2  
105 최초록 40000 3","1","3","4","5",④,"급여 속성별 값이 5개 모두 출력되므로 생성되는 튜플(행)의 개수는 5개입니다."
"데이터베이스에서 개념적 설계 단계에 대한 설명으로 틀린 것은?","산출물로 E-R Diagram을 만들 수 있다.","DBMS에 독립적인 개념 스키마를 설계한다.","트랜잭션 인터페이스를 설계 및 작성한다.","논리적 설계 단계의 앞 단계에서 수행된다.",③,"트랜잭션 인터페이스(트랜잭션의 논리 설계)는 주로 논리적 설계 단계에서 수행합니다. 개념적 설계는 업무 개념(ERD, 개체, 관계 등) 중심입니다."
"테이블 R과 S에 대한 SQL문이 실행되었을 때 실행결과로 옳은 것은?  
R           S  
A B        A B  
1 A        3 B  
1 B        2 B  
SELECT A FROM R
UNION ALL
SELECT A FROM S;","1","3","2","1, 3, 1, 2",④,"UNION ALL은 합집합(중복 허용)으로 R의 1(2개), S의 3과 2가 모두 출력됩니다. 결과: 1, 3, 1, 2"
"제3정규형(3NF)에서 BCNF(Boyce-Codd Normal Form)가 되기 위한 조건은?","결정자가 후보키가 아닌 함수 종속 제거","이행적 함수 종속 제거","부분적 함수 종속 제거","원자값이 아닌 도메인 분해",①,"BCNF는 결정자가 반드시 후보키일 것을 요구합니다. 즉, 결정자가 후보키가 아닐 경우(함수 종속성 위반)를 제거해야 BCNF가 됩니다."
"관계 데이터 모델의 무결성 제약 중 기본키 값의 속성 값이 널(Null) 값이 아닌 원자 값을 갖는 성질은?","개체 무결성","참조 무결성","도메인 무결성","튜플의 유일성",①,"기본키가 널(Null) 값을 갖지 못하게 함을 개체(실체) 무결성(Entity Integrity)라 합니다."
"병행제어의 로킹(Locking) 단위에 대한 설명으로 옳지 않은 것은?","데이터베이스, 파일, 레코드 등은 로킹 단위가 될 수 있다.","로킹 단위가 작아지면 로킹 오버헤드가 증가한다.","한꺼번에 로킹할 수 있는 단위를 로킹 단위라고 한다.","로킹 단위가 작아지면 병행성 수준이 낮아진다.",④,"로킹의 단위가 작아질수록 병행성이 높아집니다(낮아지는 게 아님)."
"트랜잭션의 상태 중 트랜잭션의 마지막 연산이 실행된 직후의 상태로, 모든 연산의 처리는 끝났지만 트랜잭션이 수행한 최종 결과를 데이터베이스에 반영하지 않은 상태는?","Active","Partially Committed","Committed","Aborted",②,"마지막 연산 직후, 데이터베이스에 아직 영구 반영(committed)되지 않은 상태는 Partially Committed입니다."
"테이블의 기본키(Primary Key)로 지정된 속성에 관한 설명으로 가장 거리가 먼 것은?","NOT NULL로 널 값을 가지지 않는다.","릴레이션에서 튜플을 구별할 수 있다.","외래키로 참조될 수 있다.","검색할 때 반드시 필요하다.",④,"기본키는 반드시 검색에만 사용해야 할 의무는 없습니다(식별자 역할이 본질)."
"DELETE 명령에 대한 설명으로 틀린 것은?","테이블의 행을 삭제할 때 사용한다.","조건절이 없는 DELETE 명령을 수행하면 DROP TABLE 명령을 수행했을 때와 동일한 효과를 얻을 수 있다.","SQL을 사용 용도에 따라 분류할 경우 DML에 해당한다.","기본 사용 형식은 “DELETE FROM 테이블 [WHERE 조건];”이다.",②,"DELETE만으로도 전체 튜플을 삭제할 수 있지만, DROP TABLE은 테이블 구조 자체도 삭제합니다. 행만 삭제와 구조까지 삭제는 다릅니다."
"관계 대수식을 SQL 질의로 옳게 표현한 것은?  
π이름(σ학과='교육'(학생))","SELECT 이름 FROM 학생 WHERE 학과=‘교육’;","이름 학생 FROM WHERE 학과=‘교육’;","교육 학과 이름 학생 SELECT FROM WHERE =‘’;","학과 학생 이름 교육 SELECT FROM WHERE =‘’; " ,②,"정답: SELECT 이름 FROM 학생 WHERE 학과=‘교육’; (1번), 다만 표기 오타는 본문을 따름(2번)"
